Human_Gene_name,Description,References
PPIA,Table S4 : Coloc with GWAS and eQTL,
GCK,Table S4 : Coloc with GWAS and eQTL,
SFRP1,Table S4 : Coloc with GWAS and eQTL,
GINS4,Table S4 : Coloc with GWAS and eQTL,
NKX6-3,Table S4 : Coloc with GWAS and eQTL,
ANK1,Table S4 : Coloc with GWAS and eQTL,
ANK1,Table S4 : Coloc with GWAS and eQTL,
ANK1,Table S4 : Coloc with GWAS and eQTL,
JAK2,Table S4 : Coloc with GWAS and eQTL,
CDC37L1,Table S4 : Coloc with GWAS and eQTL,
IGHEP2,Table S4 : Coloc with GWAS and eQTL,
RPS6,Table S4 : Coloc with GWAS and eQTL,
BAG1,Table S4 : Coloc with GWAS and eQTL,
ENHO,Table S4 : Coloc with GWAS and eQTL,
C9orf131,Table S4 : Coloc with GWAS and eQTL,
SERPINH1P1,Table S4 : Coloc with GWAS and eQTL,
RP11-195F19.9,Table S4 : Coloc with GWAS and eQTL,
UBE2R2,Table S4 : Coloc with GWAS and eQTL,
KIF24,Table S4 : Coloc with GWAS and eQTL,
UBAP2,Table S4 : Coloc with GWAS and eQTL,
NUDT2,Table S4 : Coloc with GWAS and eQTL,
TLE1,Table S4 : Coloc with GWAS and eQTL,
RP11-154D17.1,Table S4 : Coloc with GWAS and eQTL,
CAMK1D,Table S4 : Coloc with GWAS and eQTL,
PROSER2-AS1,Table S4 : Coloc with GWAS and eQTL,
CAMK1D,Table S4 : Coloc with GWAS and eQTL,
CAMK1D,Table S4 : Coloc with GWAS and eQTL,
CAMK1D,Table S4 : Coloc with GWAS and eQTL,
CAMK1D,Table S4 : Coloc with GWAS and eQTL,
AIFM2,Table S4 : Coloc with GWAS and eQTL,
TSPAN15,Table S4 : Coloc with GWAS and eQTL,
H2AFY2,Table S4 : Coloc with GWAS and eQTL,
SUPV3L1,Table S4 : Coloc with GWAS and eQTL,
HKDC1,Table S4 : Coloc with GWAS and eQTL,
DDX21,Table S4 : Coloc with GWAS and eQTL,
AC022532.1,Table S4 : Coloc with GWAS and eQTL,
KIAA1279,Table S4 : Coloc with GWAS and eQTL,
DCLRE1A,Table S4 : Coloc with GWAS and eQTL,
RP11-57H14.2,Table S4 : Coloc with GWAS and eQTL,
RP11-57H14.2,Table S4 : Coloc with GWAS and eQTL,
RP11-57H14.4,Table S4 : Coloc with GWAS and eQTL,
RP11-324O2.6,Table S4 : Coloc with GWAS and eQTL,
RP11-572P18.1,Table S4 : Coloc with GWAS and eQTL,
C11orf21,Table S4 : Coloc with GWAS and eQTL,
MRPL23-AS1,Table S4 : Coloc with GWAS and eQTL,
TSSC4,Table S4 : Coloc with GWAS and eQTL,
C11orf21,Table S4 : Coloc with GWAS and eQTL,
SYT8,Table S4 : Coloc with GWAS and eQTL,
ART5,Table S4 : Coloc with GWAS and eQTL,
AC129929.5,Table S4 : Coloc with GWAS and eQTL,
RP5-1173A5.1,Table S4 : Coloc with GWAS and eQTL,
C11orf21,Table S4 : Coloc with GWAS and eQTL,
CDKN1C,Table S4 : Coloc with GWAS and eQTL,
AC129929.5,Table S4 : Coloc with GWAS and eQTL,
AC090587.2,Table S4 : Coloc with GWAS and eQTL,
RP5-1173A5.1,Table S4 : Coloc with GWAS and eQTL,
SLC22A18AS,Table S4 : Coloc with GWAS and eQTL,
EIF3M,Table S4 : Coloc with GWAS and eQTL,
EIF3M,Table S4 : Coloc with GWAS and eQTL,
MTNR1B,Table S4 : Coloc with GWAS and eQTL,
SMCO4,Table S4 : Coloc with GWAS and eQTL,
MIR1304,Table S4 : Coloc with GWAS and eQTL,
HIN1L,Table S4 : Coloc with GWAS and eQTL,
NDUFA9,Table S4 : Coloc with GWAS and eQTL,
C12orf5,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
DYRK4,Table S4 : Coloc with GWAS and eQTL,
C12orf5,Table S4 : Coloc with GWAS and eQTL,
PRMT8,Table S4 : Coloc with GWAS and eQTL,
PARP11,Table S4 : Coloc with GWAS and eQTL,
AKAP3,Table S4 : Coloc with GWAS and eQTL,
KCNA1,Table S4 : Coloc with GWAS and eQTL,
GALNT8,Table S4 : Coloc with GWAS and eQTL,
EFCAB4B,Table S4 : Coloc with GWAS and eQTL,
RP11-264F23.4,Table S4 : Coloc with GWAS and eQTL,
RP11-320N7.2,Table S4 : Coloc with GWAS and eQTL,
KCNA1,Table S4 : Coloc with GWAS and eQTL,
NDUFA9,Table S4 : Coloc with GWAS and eQTL,
KCNA6,Table S4 : Coloc with GWAS and eQTL,
RP3-377H17.2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
RP11-264F23.4,Table S4 : Coloc with GWAS and eQTL,
RP11-264F23.3,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
RP11-264F23.4,Table S4 : Coloc with GWAS and eQTL,
RP11-264F23.3,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
RP11-264F23.3,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
CCND2,Table S4 : Coloc with GWAS and eQTL,
GPRC5D,Table S4 : Coloc with GWAS and eQTL,
DDX47,Table S4 : Coloc with GWAS and eQTL,
RP11-13G14.4,Table S4 : Coloc with GWAS and eQTL,
FAM124A,Table S4 : Coloc with GWAS and eQTL,
RPS4XP16,Table S4 : Coloc with GWAS and eQTL,
INTS6-AS1,Table S4 : Coloc with GWAS and eQTL,
SERPINE3,Table S4 : Coloc with GWAS and eQTL,
SPRED1,Table S4 : Coloc with GWAS and eQTL,
ZNF200,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
PDPK1,Table S4 : Coloc with GWAS and eQTL,
CCDC64B,Table S4 : Coloc with GWAS and eQTL,
CLDN6,Table S4 : Coloc with GWAS and eQTL,
RP11-473M20.5,Table S4 : Coloc with GWAS and eQTL,
PAM16,Table S4 : Coloc with GWAS and eQTL,
MTRNR2L4,Table S4 : Coloc with GWAS and eQTL,
RP11-462G12.1,Table S4 : Coloc with GWAS and eQTL,
RP11-95P2.1,Table S4 : Coloc with GWAS and eQTL,
LA16c-380H5.5,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
TRAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
NAA60,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
SLX4,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
TRAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
TRAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
TRAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
NLRC3,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
CLUAP1,Table S4 : Coloc with GWAS and eQTL,
HSD17B2,Table S4 : Coloc with GWAS and eQTL,
GCSH,Table S4 : Coloc with GWAS and eQTL,
PLCG2,Table S4 : Coloc with GWAS and eQTL,
7SK,Table S4 : Coloc with GWAS and eQTL,
RASD1,Table S4 : Coloc with GWAS and eQTL,
RAI1,Table S4 : Coloc with GWAS and eQTL,
LRRC48,Table S4 : Coloc with GWAS and eQTL,
TOP3A,Table S4 : Coloc with GWAS and eQTL,
TOM1L2,Table S4 : Coloc with GWAS and eQTL,
TOM1L2,Table S4 : Coloc with GWAS and eQTL,
TOM1L2,Table S4 : Coloc with GWAS and eQTL,
AC122129.1,Table S4 : Coloc with GWAS and eQTL,
TOM1L2,Table S4 : Coloc with GWAS and eQTL,
SMCR5,Table S4 : Coloc with GWAS and eQTL,
SMCR5,Table S4 : Coloc with GWAS and eQTL,
AC122129.1,Table S4 : Coloc with GWAS and eQTL,
TOM1L2,Table S4 : Coloc with GWAS and eQTL,
AC122129.1,Table S4 : Coloc with GWAS and eQTL,
ALKBH5,Table S4 : Coloc with GWAS and eQTL,
TOM1L2,Table S4 : Coloc with GWAS and eQTL,
MYO15A,Table S4 : Coloc with GWAS and eQTL,
TOM1L2,Table S4 : Coloc with GWAS and eQTL,
LRRC48,Table S4 : Coloc with GWAS and eQTL,
LASP1,Table S4 : Coloc with GWAS and eQTL,
SRCIN1,Table S4 : Coloc with GWAS and eQTL,
ACACA,Table S4 : Coloc with GWAS and eQTL,
DUSP14,Table S4 : Coloc with GWAS and eQTL,
TBC1D3,Table S4 : Coloc with GWAS and eQTL,
SNORA21,Table S4 : Coloc with GWAS and eQTL,
RP11-115K3.1,Table S4 : Coloc with GWAS and eQTL,
AC124789.1,Table S4 : Coloc with GWAS and eQTL,
HMSD,Table S4 : Coloc with GWAS and eQTL,
BCL2,Table S4 : Coloc with GWAS and eQTL,
MAP2K7,Table S4 : Coloc with GWAS and eQTL,
CD209,Table S4 : Coloc with GWAS and eQTL,
MCOLN1,Table S4 : Coloc with GWAS and eQTL,
ADAMTS10,Table S4 : Coloc with GWAS and eQTL,
ANGPTL4,Table S4 : Coloc with GWAS and eQTL,
CD320,Table S4 : Coloc with GWAS and eQTL,
TRAPPC5,Table S4 : Coloc with GWAS and eQTL,
KANK3,Table S4 : Coloc with GWAS and eQTL,
CTD-2325M2.1,Table S4 : Coloc with GWAS and eQTL,
RAB11B-AS1,Table S4 : Coloc with GWAS and eQTL,
CTD-3020H12.4,Table S4 : Coloc with GWAS and eQTL,
LRRC8E,Table S4 : Coloc with GWAS and eQTL,
CTD-3193O13.8,Table S4 : Coloc with GWAS and eQTL,
LRRC8E,Table S4 : Coloc with GWAS and eQTL,
CTD-3193O13.9,Table S4 : Coloc with GWAS and eQTL,
EVI5L,Table S4 : Coloc with GWAS and eQTL,
MARK4,Table S4 : Coloc with GWAS and eQTL,
GIPR,Table S4 : Coloc with GWAS and eQTL,
BCL3,Table S4 : Coloc with GWAS and eQTL,
CLASRP,Table S4 : Coloc with GWAS and eQTL,
ERCC2,Table S4 : Coloc with GWAS and eQTL,
EXOC3L2,Table S4 : Coloc with GWAS and eQTL,
ZNF227,Table S4 : Coloc with GWAS and eQTL,
FOXA3,Table S4 : Coloc with GWAS and eQTL,
SIX5,Table S4 : Coloc with GWAS and eQTL,
IGSF23,Table S4 : Coloc with GWAS and eQTL,
AC006126.3,Table S4 : Coloc with GWAS and eQTL,
CTB-179K24.3,Table S4 : Coloc with GWAS and eQTL,
AC074212.6,Table S4 : Coloc with GWAS and eQTL,
VWA5B1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-3
MACF1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-4
MAST2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-5
FAF1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-6
PATJ,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-7
PGM1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-8
ST7L,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-9
PTGFRN,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-10
NOTCH2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-11
CHD1L,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-12
SEC16B,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-13
TSEN15,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-14
ZNF281,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-15
DSTYK-MDM4,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-16
SRGAP2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-17
PROX1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-18
LYPLAL1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-19
ABCB10-NUP133,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-20
TMEM18,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-21
FAM49A,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-22
DTNB,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-23
GCKR,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-24
THADA,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-25
SIX3-SIX2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-26
BNIPL,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-27
BCL11A,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-28
CEP68,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-29
LOC541471,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-30
GLI2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-31
CYTIP,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-32
RBSM1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-33
KCNH7,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-34
GRB14,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-35
GALNT3,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-36
SCHLAP1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-37
IKZF2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-38
IRS1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-39
ATG16L1-DGKD,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-40
PPARG,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-41
UBE2E2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-42
RBM6,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-43
RFT1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-44
CACNA2D3,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-45
PXK,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-46
PSMD6-ADAMTS9,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-47
ZBTB20,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-48
ADCY5,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-49
SLC12A8,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-50
TSC22D2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-51
MBNL1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-52
LEKR1-CCNL1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-53
SLC2A2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-54
CCDC39-FXR1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-55
IGF2BP2,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-56
ST6GAL1,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-57
BCL6-LPP,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-58
TFRC,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-59
CTBP1-PCGF3-MAEA,"Supplementary Table 5. Loci attaining genome-wide significant evidence (p<5x10-8) of association with T2D in multi-ancestry meta-regression (MR-MEGA) of up to 180,834 cases and 1,159,055 controls (effective sample size 492,191).	",https://doi.org/10.1038/s41588-022-01058-60
