strain_id,A_MTX_5-FC.SRO9_DHH1,A_MTX_Fluconazole.SRO9_DHH1,A_MTX_Metformin.SRO9_DHH1,A_MTX_Trifluoperazine.SRO9_DHH1,A_MTX_noDrug.SRO9_DHH1,A_noMTX_5-FC.SRO9_DHH1,A_noMTX_Fluconazole.SRO9_DHH1,A_noMTX_Metformin.SRO9_DHH1,A_noMTX_Trifluoperazine.SRO9_DHH1,A_noMTX_noDrug.SRO9_DHH1,B_MTX_5-FC.SRO9_DHH1,B_MTX_Fluconazole.SRO9_DHH1,B_MTX_Metformin.SRO9_DHH1,B_MTX_Trifluoperazine.SRO9_DHH1,B_MTX_noDrug.SRO9_DHH1,B_noMTX_5-FC.SRO9_DHH1,B_noMTX_Fluconazole.SRO9_DHH1,B_noMTX_Metformin.SRO9_DHH1,B_noMTX_Trifluoperazine.SRO9_DHH1,B_noMTX_noDrug.SRO9_DHH1,T0_noMTX_noDrug.SRO9_DHH1
543,0.0,0.0,3.0,7.0,0.0,28.0,46.0,68.0,19.0,36.0,3.0,0.0,4.0,2.0,2.0,41.0,323.0,90.0,45.0,38.0,86.0
545,650.0,20543.0,407.0,497.0,32.0,160.0,340.0,645.0,183.0,97.0,616.0,13221.0,405.0,369.0,1038.0,215.0,985.0,411.0,333.0,293.0,99.0
546,3.0,5.0,35.0,3.0,0.0,234.0,189.0,746.0,369.0,173.0,3.0,1.0,32.0,2.0,2.0,369.0,211.0,606.0,687.0,420.0,93.0
557,6.0,2.0,51.0,14.0,4.0,53.0,61.0,293.0,59.0,44.0,19.0,1.0,23.0,13.0,1.0,55.0,86.0,350.0,226.0,161.0,35.0
559,2.0,13.0,12.0,6.0,2.0,15.0,3.0,16.0,24.0,3.0,8.0,6.0,12.0,8.0,1.0,9.0,3.0,20.0,18.0,5.0,11.0
564,51.0,519.0,47.0,255.0,5.0,61.0,99.0,110.0,59.0,49.0,159.0,279.0,46.0,137.0,80.0,94.0,133.0,68.0,130.0,105.0,20.0
567,222.0,40.0,463.0,394.0,9.0,199.0,129.0,419.0,81.0,228.0,231.0,0.0,218.0,106.0,467.0,324.0,22.0,385.0,291.0,232.0,36.0
57,0.0,0.0,15.0,1.0,0.0,108.0,21.0,108.0,47.0,72.0,4.0,0.0,4.0,1.0,1.0,134.0,16.0,81.0,79.0,88.0,13.0
571,100.0,84.0,71.0,130.0,10.0,29.0,45.0,87.0,22.0,23.0,159.0,10.0,78.0,70.0,146.0,39.0,14.0,33.0,72.0,59.0,13.0
574,0.0,3.0,18.0,2.0,0.0,46.0,15.0,70.0,11.0,11.0,2.0,0.0,10.0,3.0,2.0,49.0,2.0,66.0,17.0,40.0,8.0
576,0.0,17.0,14.0,1.0,2.0,62.0,24.0,151.0,58.0,57.0,7.0,17.0,8.0,3.0,1.0,130.0,255.0,165.0,106.0,128.0,31.0
578,179.0,3013.0,332.0,346.0,88.0,123.0,655.0,367.0,160.0,93.0,376.0,2614.0,242.0,258.0,248.0,146.0,363.0,262.0,366.0,202.0,62.0
58,0.0,1.0,1.0,2.0,0.0,7.0,14.0,11.0,7.0,4.0,0.0,0.0,1.0,1.0,1.0,6.0,10.0,13.0,36.0,4.0,37.0
581,1.0,2.0,0.0,3.0,1.0,13.0,12.0,10.0,11.0,5.0,1.0,1.0,7.0,0.0,0.0,14.0,7.0,17.0,24.0,21.0,6.0
586,9.0,15.0,55.0,29.0,17.0,145.0,73.0,165.0,98.0,101.0,20.0,10.0,35.0,19.0,26.0,169.0,27.0,320.0,243.0,161.0,44.0
588,6.0,4.0,17.0,18.0,1.0,15.0,14.0,54.0,17.0,10.0,5.0,1.0,18.0,3.0,8.0,13.0,5.0,53.0,69.0,20.0,3.0
589,7.0,21.0,25.0,7.0,1.0,204.0,554.0,314.0,71.0,121.0,6.0,9.0,17.0,7.0,5.0,153.0,1605.0,237.0,183.0,178.0,37.0
590,4.0,0.0,6.0,18.0,1.0,52.0,35.0,60.0,28.0,28.0,11.0,1.0,13.0,11.0,5.0,25.0,7.0,53.0,100.0,36.0,11.0
596,2.0,1.0,40.0,2.0,2.0,951.0,296.0,2314.0,770.0,979.0,1.0,0.0,21.0,6.0,4.0,1933.0,67.0,2233.0,1567.0,1602.0,166.0
598,88.0,765.0,120.0,284.0,22.0,127.0,56.0,192.0,36.0,9.0,287.0,637.0,42.0,300.0,218.0,50.0,6.0,141.0,123.0,49.0,9.0
599,1048.0,41.0,833.0,2785.0,33.0,469.0,25.0,695.0,217.0,105.0,2344.0,12.0,608.0,1408.0,1885.0,256.0,24.0,660.0,535.0,572.0,106.0
599_ref1,11.0,3.0,17.0,7.0,0.0,67.0,15.0,256.0,44.0,31.0,30.0,2.0,15.0,2.0,1.0,18.0,22.0,194.0,212.0,235.0,418.0
599_ref2,4.0,0.0,11.0,6.0,0.0,13.0,4.0,50.0,26.0,21.0,10.0,0.0,9.0,0.0,1.0,21.0,51.0,58.0,130.0,97.0,360.0
6,1.0,5.0,5.0,6.0,4.0,17.0,30.0,35.0,12.0,18.0,4.0,4.0,4.0,6.0,4.0,20.0,8.0,23.0,67.0,22.0,9.0
60,219.0,8.0,62.0,192.0,21.0,195.0,10.0,413.0,126.0,64.0,403.0,8.0,237.0,129.0,206.0,241.0,4.0,425.0,656.0,221.0,36.0
61,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0
611,0.0,13.0,57.0,0.0,0.0,305.0,1123.0,452.0,124.0,110.0,5.0,8.0,25.0,1.0,2.0,195.0,262.0,303.0,361.0,226.0,58.0
616,218.0,76.0,61.0,248.0,24.0,48.0,73.0,104.0,65.0,85.0,338.0,27.0,75.0,135.0,311.0,113.0,17.0,144.0,177.0,92.0,42.0
619,1.0,12.0,4.0,8.0,2.0,12.0,10.0,18.0,7.0,6.0,8.0,3.0,7.0,7.0,6.0,10.0,24.0,20.0,33.0,10.0,2.0
622,3.0,1.0,14.0,20.0,9.0,75.0,28.0,139.0,26.0,57.0,15.0,4.0,17.0,13.0,11.0,123.0,6.0,111.0,83.0,53.0,22.0
627,513.0,8.0,23.0,479.0,6.0,35.0,13.0,63.0,22.0,8.0,284.0,0.0,56.0,173.0,415.0,30.0,7.0,58.0,76.0,14.0,5.0
631,324.0,104.0,1219.0,414.0,11.0,1256.0,99.0,1596.0,519.0,627.0,416.0,1.0,471.0,160.0,576.0,1101.0,418.0,1475.0,993.0,1494.0,138.0
632,47.0,24.0,72.0,69.0,31.0,93.0,121.0,393.0,84.0,92.0,128.0,1.0,165.0,53.0,44.0,161.0,37.0,271.0,328.0,148.0,31.0
636,1.0,4.0,33.0,5.0,3.0,237.0,115.0,617.0,189.0,84.0,6.0,0.0,22.0,13.0,2.0,417.0,180.0,270.0,349.0,186.0,36.0
638,50.0,7.0,112.0,53.0,0.0,82.0,42.0,145.0,32.0,37.0,65.0,19.0,42.0,22.0,72.0,73.0,4.0,116.0,98.0,73.0,51.0
639,56.0,47.0,60.0,71.0,26.0,33.0,38.0,71.0,45.0,18.0,221.0,154.0,102.0,37.0,71.0,80.0,88.0,90.0,50.0,26.0,10.0
64,177.0,120.0,240.0,573.0,4.0,273.0,305.0,550.0,262.0,216.0,303.0,72.0,126.0,160.0,346.0,223.0,79.0,438.0,675.0,487.0,107.0
640,8.0,14.0,19.0,4.0,7.0,38.0,32.0,188.0,67.0,28.0,13.0,11.0,40.0,9.0,6.0,80.0,76.0,131.0,116.0,75.0,36.0
642,41.0,56.0,45.0,57.0,30.0,54.0,25.0,318.0,84.0,74.0,92.0,6.0,171.0,60.0,54.0,167.0,58.0,234.0,165.0,101.0,29.0
648,33.0,55.0,13.0,13.0,24.0,31.0,24.0,28.0,17.0,3.0,97.0,32.0,14.0,10.0,12.0,29.0,17.0,25.0,27.0,8.0,5.0
649,389.0,41.0,507.0,692.0,166.0,246.0,80.0,517.0,178.0,67.0,750.0,2.0,755.0,523.0,631.0,241.0,22.0,486.0,482.0,278.0,69.0
65,0.0,7.0,1.0,4.0,5.0,2.0,11.0,11.0,5.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,14.0,15.0,2.0,1.0
651,179.0,260.0,81.0,213.0,8.0,83.0,4.0,242.0,78.0,27.0,275.0,94.0,121.0,91.0,212.0,74.0,8.0,214.0,315.0,119.0,39.0
652,318.0,20.0,353.0,776.0,28.0,169.0,119.0,232.0,160.0,127.0,634.0,16.0,390.0,379.0,545.0,253.0,104.0,322.0,414.0,192.0,142.0
653,22.0,52.0,22.0,14.0,11.0,39.0,95.0,148.0,66.0,39.0,34.0,19.0,32.0,24.0,11.0,66.0,34.0,170.0,171.0,67.0,26.0
657,171.0,3849.0,706.0,745.0,13.0,358.0,608.0,837.0,239.0,172.0,210.0,1462.0,193.0,159.0,426.0,407.0,180.0,676.0,724.0,469.0,94.0
658,359.0,18.0,40.0,144.0,42.0,15.0,8.0,46.0,15.0,24.0,474.0,7.0,84.0,163.0,244.0,63.0,0.0,55.0,61.0,33.0,9.0
66,0.0,8.0,12.0,2.0,1.0,47.0,184.0,222.0,36.0,45.0,2.0,9.0,7.0,2.0,1.0,54.0,232.0,134.0,95.0,86.0,68.0
660,153.0,70.0,218.0,109.0,14.0,99.0,12.0,202.0,79.0,101.0,221.0,2.0,102.0,79.0,195.0,151.0,29.0,186.0,119.0,137.0,58.0
666,73.0,1189.0,37.0,100.0,10.0,96.0,136.0,202.0,66.0,25.0,111.0,450.0,33.0,33.0,67.0,52.0,6.0,215.0,89.0,81.0,49.0
667,54.0,78.0,94.0,73.0,12.0,143.0,116.0,343.0,119.0,86.0,127.0,14.0,69.0,36.0,43.0,155.0,37.0,232.0,184.0,145.0,34.0
668,8.0,15.0,11.0,15.0,9.0,92.0,21.0,135.0,58.0,60.0,13.0,5.0,13.0,25.0,5.0,116.0,389.0,125.0,134.0,58.0,30.0
673,13586.0,3636.0,25062.0,38461.0,493.0,19420.0,1717.0,27031.0,9183.0,7983.0,17825.0,783.0,10260.0,13217.0,25605.0,13200.0,7105.0,22382.0,24714.0,23080.0,3180.0
674,465.0,4238.0,873.0,1760.0,16.0,665.0,1857.0,1031.0,313.0,141.0,506.0,2771.0,556.0,848.0,1401.0,366.0,962.0,718.0,919.0,429.0,90.0
676,116.0,178.0,167.0,276.0,68.0,111.0,208.0,292.0,175.0,52.0,251.0,24.0,211.0,267.0,198.0,173.0,74.0,286.0,303.0,191.0,42.0
677,0.0,1.0,24.0,1.0,0.0,51.0,18.0,97.0,35.0,23.0,0.0,2.0,7.0,1.0,0.0,31.0,20.0,101.0,93.0,61.0,12.0
683,0.0,1.0,16.0,3.0,1.0,60.0,10.0,79.0,61.0,21.0,0.0,0.0,9.0,0.0,0.0,30.0,20.0,84.0,164.0,89.0,26.0
685,1.0,2.0,15.0,2.0,0.0,186.0,99.0,283.0,54.0,97.0,3.0,2.0,10.0,2.0,0.0,251.0,225.0,259.0,202.0,156.0,69.0
689,63.0,600.0,50.0,172.0,6.0,16.0,62.0,20.0,15.0,5.0,196.0,532.0,82.0,87.0,132.0,9.0,129.0,30.0,62.0,16.0,7.0
690,181.0,1907.0,31.0,54.0,2.0,52.0,21.0,199.0,68.0,31.0,190.0,1865.0,76.0,27.0,94.0,72.0,54.0,150.0,119.0,61.0,36.0
692,0.0,0.0,0.0,1.0,0.0,34.0,27.0,119.0,35.0,10.0,0.0,0.0,8.0,0.0,0.0,26.0,32.0,125.0,60.0,19.0,14.0
693,87.0,7.0,88.0,71.0,8.0,55.0,88.0,152.0,68.0,89.0,144.0,6.0,48.0,15.0,24.0,113.0,458.0,163.0,147.0,57.0,49.0
695,335.0,44.0,440.0,371.0,23.0,307.0,138.0,463.0,158.0,73.0,656.0,14.0,505.0,128.0,398.0,145.0,32.0,711.0,449.0,364.0,42.0
697,4.0,0.0,15.0,9.0,2.0,43.0,23.0,291.0,55.0,38.0,6.0,0.0,20.0,9.0,3.0,43.0,90.0,139.0,117.0,56.0,12.0
7,5.0,3.0,14.0,4.0,2.0,39.0,16.0,134.0,80.0,58.0,8.0,0.0,15.0,6.0,1.0,107.0,33.0,111.0,153.0,67.0,23.0
701,0.0,1.0,50.0,3.0,0.0,97.0,364.0,160.0,63.0,38.0,1.0,9.0,25.0,4.0,1.0,146.0,62.0,213.0,137.0,86.0,18.0
702,0.0,4.0,75.0,3.0,0.0,266.0,70.0,379.0,175.0,96.0,5.0,4.0,59.0,0.0,4.0,207.0,214.0,325.0,539.0,332.0,77.0
703,99.0,42.0,95.0,122.0,1.0,125.0,9.0,428.0,102.0,55.0,101.0,30.0,290.0,65.0,268.0,282.0,98.0,293.0,318.0,136.0,20.0
705,1.0,1.0,1.0,0.0,0.0,74.0,20.0,87.0,27.0,34.0,2.0,0.0,9.0,2.0,0.0,73.0,21.0,118.0,71.0,59.0,17.0
709,274.0,455.0,458.0,1070.0,6.0,88.0,23.0,236.0,78.0,80.0,295.0,254.0,283.0,288.0,587.0,67.0,144.0,222.0,170.0,130.0,36.0
711,0.0,1.0,3.0,2.0,0.0,4.0,0.0,22.0,15.0,1.0,0.0,1.0,8.0,0.0,2.0,10.0,5.0,14.0,28.0,26.0,9.0
713,10.0,2.0,14.0,52.0,19.0,10.0,10.0,35.0,15.0,7.0,21.0,1.0,36.0,72.0,26.0,14.0,8.0,23.0,28.0,16.0,7.0
715,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,2.0,21.0,23.0,3.0,2.0
717,313.0,702.0,564.0,1035.0,30.0,435.0,50.0,822.0,432.0,222.0,670.0,378.0,563.0,546.0,977.0,489.0,113.0,753.0,925.0,498.0,168.0
721,3.0,5.0,10.0,16.0,5.0,19.0,61.0,36.0,12.0,11.0,8.0,4.0,21.0,21.0,15.0,36.0,56.0,32.0,33.0,10.0,10.0
724,6.0,9.0,30.0,10.0,6.0,15.0,12.0,33.0,15.0,8.0,7.0,2.0,30.0,13.0,10.0,19.0,17.0,35.0,55.0,18.0,2.0
727,678.0,67.0,2026.0,2109.0,18.0,869.0,55.0,1268.0,247.0,284.0,1152.0,12.0,1140.0,840.0,2018.0,593.0,73.0,1070.0,938.0,825.0,128.0
729,393.0,2627.0,758.0,1623.0,35.0,526.0,624.0,732.0,192.0,213.0,336.0,1490.0,334.0,377.0,887.0,366.0,375.0,670.0,517.0,546.0,102.0
731,27.0,4.0,1333.0,22.0,3.0,2402.0,650.0,4980.0,1565.0,1080.0,141.0,1.0,645.0,20.0,7.0,1187.0,33206.0,3963.0,2981.0,2359.0,804.0
732,1.0,0.0,166.0,1.0,0.0,741.0,365.0,2168.0,415.0,423.0,2.0,1.0,84.0,8.0,4.0,611.0,530.0,1549.0,898.0,984.0,161.0
734,730.0,8.0,79.0,1106.0,45.0,44.0,22.0,104.0,51.0,39.0,1101.0,2.0,79.0,458.0,681.0,49.0,60.0,126.0,103.0,65.0,50.0
735,1.0,0.0,0.0,0.0,0.0,29.0,31.0,96.0,37.0,30.0,0.0,1.0,7.0,0.0,1.0,40.0,115.0,102.0,70.0,47.0,18.0
738,23.0,164.0,21.0,36.0,1.0,45.0,115.0,152.0,65.0,30.0,36.0,410.0,32.0,17.0,25.0,72.0,546.0,176.0,92.0,95.0,21.0
739,7.0,2.0,44.0,5.0,0.0,357.0,210.0,1128.0,578.0,265.0,2.0,1.0,48.0,0.0,2.0,485.0,106.0,969.0,1354.0,577.0,376.0
740,6.0,0.0,21.0,6.0,1.0,14.0,9.0,56.0,29.0,3.0,3.0,0.0,13.0,2.0,5.0,8.0,94.0,45.0,61.0,13.0,3.0
741,24.0,8.0,64.0,138.0,14.0,49.0,68.0,151.0,42.0,23.0,39.0,2.0,73.0,38.0,141.0,68.0,48.0,109.0,94.0,82.0,8.0
742,14.0,10.0,139.0,52.0,24.0,179.0,457.0,824.0,347.0,135.0,36.0,5.0,106.0,39.0,30.0,162.0,685.0,678.0,813.0,384.0,72.0
748,0.0,6.0,61.0,3.0,3.0,109.0,6.0,264.0,76.0,39.0,3.0,6.0,61.0,6.0,1.0,91.0,34.0,196.0,138.0,95.0,39.0
749,0.0,0.0,6.0,3.0,1.0,38.0,72.0,161.0,56.0,41.0,4.0,0.0,16.0,2.0,0.0,135.0,82.0,117.0,134.0,84.0,20.0
754,7.0,2.0,5.0,0.0,0.0,19.0,22.0,108.0,39.0,12.0,2.0,2.0,9.0,0.0,1.0,42.0,14.0,99.0,129.0,57.0,15.0
755,0.0,1.0,0.0,0.0,0.0,1.0,8.0,80.0,7.0,6.0,1.0,1.0,5.0,0.0,0.0,5.0,5.0,16.0,32.0,1.0,3.0
756,1113.0,1419.0,1044.0,3197.0,38.0,926.0,416.0,2290.0,803.0,623.0,1454.0,525.0,988.0,1207.0,2417.0,1044.0,378.0,1607.0,2241.0,1367.0,725.0
760,1440.0,75.0,1765.0,1330.0,61.0,745.0,339.0,2199.0,631.0,475.0,1784.0,54.0,1902.0,490.0,1399.0,1463.0,472.0,1579.0,1466.0,845.0,174.0
77,82.0,525.0,116.0,105.0,1.0,72.0,40.0,114.0,40.0,55.0,92.0,376.0,94.0,43.0,69.0,50.0,69.0,84.0,106.0,114.0,22.0
772,28.0,123.0,71.0,25.0,5.0,29.0,23.0,89.0,24.0,22.0,35.0,12.0,25.0,7.0,35.0,69.0,19.0,61.0,61.0,75.0,18.0
775,3.0,14.0,296.0,5.0,0.0,339.0,89.0,823.0,223.0,190.0,14.0,1.0,114.0,3.0,6.0,328.0,256.0,415.0,639.0,321.0,74.0
778,66.0,12.0,57.0,57.0,6.0,138.0,97.0,456.0,157.0,138.0,54.0,10.0,57.0,124.0,32.0,295.0,92.0,230.0,363.0,109.0,57.0
78,0.0,0.0,43.0,1.0,1.0,58.0,0.0,85.0,36.0,64.0,0.0,1.0,6.0,0.0,0.0,109.0,0.0,113.0,84.0,62.0,6.0
782,0.0,3.0,21.0,1.0,0.0,122.0,18.0,245.0,53.0,32.0,0.0,1.0,34.0,1.0,1.0,83.0,36.0,188.0,119.0,191.0,28.0
783,686.0,2303.0,135.0,426.0,13.0,210.0,189.0,826.0,154.0,92.0,957.0,2869.0,244.0,176.0,581.0,339.0,411.0,337.0,683.0,310.0,64.0
784,3.0,13.0,6.0,3.0,0.0,126.0,91.0,310.0,98.0,110.0,2.0,9.0,14.0,0.0,2.0,324.0,37.0,290.0,294.0,224.0,56.0
789,0.0,2.0,1.0,0.0,0.0,10.0,4.0,44.0,22.0,4.0,1.0,0.0,2.0,1.0,1.0,10.0,17.0,42.0,48.0,14.0,10.0
790,8.0,25.0,22.0,42.0,15.0,34.0,22.0,61.0,30.0,22.0,24.0,7.0,33.0,64.0,30.0,64.0,26.0,71.0,93.0,54.0,46.0
791,16.0,54.0,43.0,49.0,35.0,28.0,17.0,55.0,22.0,18.0,28.0,16.0,43.0,43.0,45.0,25.0,35.0,49.0,64.0,25.0,18.0
795,46.0,20.0,2639.0,39.0,3.0,3830.0,1058.0,8483.0,2116.0,1353.0,83.0,7.0,1549.0,29.0,36.0,3005.0,1673.0,6922.0,5590.0,3939.0,411.0
796,10.0,51.0,71.0,36.0,0.0,70.0,239.0,306.0,127.0,124.0,15.0,35.0,28.0,13.0,5.0,109.0,212.0,179.0,292.0,159.0,54.0
797,2.0,5.0,24.0,6.0,0.0,87.0,18.0,128.0,62.0,70.0,1.0,5.0,6.0,5.0,2.0,110.0,13.0,119.0,135.0,80.0,34.0
798,5.0,10.0,369.0,12.0,0.0,2186.0,4794.0,4733.0,1434.0,2157.0,10.0,1.0,238.0,9.0,6.0,2636.0,3684.0,3539.0,3034.0,3694.0,470.0
800,0.0,0.0,0.0,0.0,0.0,3.0,15.0,11.0,6.0,4.0,0.0,1.0,2.0,4.0,0.0,5.0,42.0,9.0,9.0,6.0,0.0
801,1.0,110.0,0.0,16.0,2.0,6.0,14.0,9.0,6.0,3.0,10.0,83.0,5.0,11.0,9.0,6.0,17.0,15.0,11.0,2.0,11.0
803,1.0,0.0,16.0,12.0,0.0,202.0,123.0,347.0,91.0,48.0,1.0,2.0,11.0,3.0,0.0,142.0,87.0,229.0,203.0,118.0,45.0
804,194.0,666.0,119.0,198.0,2.0,62.0,112.0,294.0,82.0,54.0,243.0,769.0,495.0,126.0,235.0,157.0,25.0,269.0,208.0,112.0,30.0
805,477.0,632.0,300.0,210.0,1.0,234.0,802.0,629.0,165.0,131.0,511.0,665.0,413.0,91.0,290.0,440.0,792.0,424.0,348.0,303.0,73.0
807,0.0,1.0,9.0,1.0,1.0,15.0,9.0,60.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,17.0,63.0,40.0,22.0,3.0
808,7.0,8.0,49.0,11.0,11.0,62.0,40.0,88.0,46.0,35.0,11.0,10.0,16.0,34.0,17.0,33.0,19.0,147.0,125.0,84.0,22.0
809,406.0,75.0,539.0,526.0,32.0,209.0,71.0,667.0,208.0,165.0,694.0,14.0,442.0,267.0,623.0,267.0,251.0,521.0,447.0,317.0,101.0
81,58.0,97.0,2.0,14.0,6.0,28.0,30.0,44.0,19.0,3.0,20.0,52.0,29.0,19.0,44.0,36.0,2.0,33.0,18.0,18.0,9.0
811,9.0,21.0,13.0,38.0,27.0,13.0,25.0,53.0,31.0,6.0,44.0,3.0,19.0,27.0,13.0,19.0,30.0,71.0,71.0,21.0,5.0
812,0.0,3.0,2.0,3.0,0.0,13.0,10.0,39.0,7.0,13.0,2.0,1.0,8.0,1.0,1.0,14.0,11.0,18.0,28.0,10.0,8.0
813,20.0,53.0,75.0,58.0,20.0,163.0,536.0,801.0,226.0,152.0,37.0,10.0,81.0,43.0,34.0,266.0,256.0,566.0,704.0,287.0,40.0
819,2.0,8.0,28.0,3.0,1.0,573.0,248.0,1095.0,470.0,205.0,0.0,1.0,34.0,3.0,3.0,804.0,49.0,876.0,1190.0,693.0,70.0
821,0.0,0.0,1.0,0.0,0.0,7.0,18.0,42.0,11.0,5.0,2.0,0.0,9.0,2.0,2.0,12.0,27.0,21.0,22.0,47.0,7.0
823,15.0,17.0,25.0,37.0,12.0,69.0,77.0,118.0,49.0,22.0,32.0,1.0,64.0,18.0,12.0,34.0,91.0,122.0,124.0,64.0,15.0
830,1.0,2.0,2.0,0.0,1.0,6.0,37.0,31.0,11.0,5.0,0.0,0.0,1.0,1.0,0.0,11.0,110.0,37.0,31.0,16.0,2.0
833,82.0,104.0,36.0,30.0,11.0,49.0,46.0,364.0,78.0,28.0,154.0,15.0,62.0,28.0,43.0,106.0,80.0,163.0,224.0,90.0,40.0
835,13.0,27.0,3.0,6.0,1.0,16.0,14.0,96.0,25.0,11.0,25.0,24.0,30.0,11.0,9.0,72.0,3.0,105.0,58.0,30.0,20.0
837,136.0,5.0,168.0,166.0,14.0,140.0,53.0,281.0,84.0,97.0,121.0,13.0,139.0,83.0,290.0,236.0,53.0,287.0,195.0,221.0,62.0
838,14594.0,9248.0,15524.0,25276.0,2177.0,10398.0,8359.0,32376.0,6639.0,3341.0,19256.0,5196.0,23644.0,17322.0,31181.0,8869.0,5470.0,22729.0,25125.0,13145.0,1917.0
839,3.0,19.0,51.0,19.0,10.0,287.0,77.0,737.0,241.0,77.0,17.0,0.0,70.0,53.0,18.0,395.0,33.0,590.0,490.0,239.0,28.0
841,65.0,1242.0,365.0,511.0,4.0,84.0,295.0,288.0,238.0,109.0,103.0,938.0,312.0,188.0,140.0,141.0,311.0,196.0,580.0,175.0,325.0
842,479.0,1695.0,738.0,2387.0,15.0,249.0,106.0,252.0,114.0,70.0,452.0,1869.0,411.0,758.0,1190.0,151.0,93.0,218.0,335.0,136.0,77.0
843,18.0,68.0,496.0,31.0,1.0,2433.0,5738.0,6986.0,2023.0,3912.0,12.0,28.0,131.0,20.0,22.0,4607.0,12634.0,5549.0,4683.0,3639.0,2115.0
848,48.0,727.0,81.0,39.0,2.0,109.0,45.0,237.0,57.0,19.0,124.0,106.0,26.0,19.0,74.0,68.0,76.0,151.0,131.0,100.0,31.0
850,9.0,20.0,68.0,4.0,1.0,503.0,569.0,818.0,361.0,148.0,8.0,6.0,68.0,1.0,5.0,272.0,793.0,1070.0,848.0,583.0,106.0
853,516.0,1347.0,1289.0,1172.0,29.0,798.0,386.0,1275.0,360.0,313.0,473.0,962.0,596.0,416.0,1044.0,384.0,202.0,1067.0,959.0,856.0,381.0
854,2.0,11.0,11.0,1.0,0.0,67.0,9.0,205.0,36.0,14.0,7.0,10.0,87.0,0.0,1.0,27.0,50.0,121.0,179.0,84.0,31.0
857,31.0,117.0,402.0,34.0,1.0,10555.0,17158.0,30094.0,8467.0,4263.0,22.0,16.0,806.0,8.0,2.0,9374.0,12738.0,21612.0,21195.0,14432.0,3571.0
859,38.0,23.0,23.0,100.0,35.0,35.0,13.0,425.0,52.0,25.0,91.0,15.0,42.0,52.0,96.0,56.0,11.0,110.0,144.0,41.0,22.0
860,33.0,37.0,37.0,65.0,34.0,140.0,85.0,430.0,119.0,70.0,52.0,3.0,58.0,68.0,46.0,160.0,280.0,308.0,400.0,127.0,40.0
862,45.0,18.0,224.0,199.0,73.0,59.0,28.0,207.0,95.0,15.0,113.0,3.0,165.0,182.0,92.0,57.0,52.0,194.0,278.0,40.0,7.0
868,2.0,136.0,39.0,66.0,0.0,12.0,4.0,17.0,13.0,7.0,22.0,32.0,27.0,20.0,46.0,3.0,4.0,20.0,43.0,25.0,10.0
869,345.0,21.0,150.0,207.0,6.0,75.0,21.0,167.0,61.0,76.0,552.0,0.0,293.0,74.0,374.0,109.0,11.0,187.0,167.0,123.0,21.0
87,2.0,17.0,1.0,5.0,3.0,1.0,1.0,8.0,14.0,1.0,2.0,37.0,2.0,5.0,4.0,1.0,2.0,7.0,3.0,2.0,8.0
870,2.0,7.0,2.0,0.0,1.0,2.0,8.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0
871,3.0,52.0,14.0,2.0,0.0,23.0,13.0,189.0,18.0,7.0,16.0,81.0,30.0,4.0,11.0,54.0,7.0,23.0,13.0,94.0,6.0
879,0.0,0.0,3.0,0.0,1.0,31.0,37.0,102.0,35.0,33.0,1.0,0.0,5.0,0.0,1.0,101.0,51.0,173.0,99.0,56.0,24.0
880,0.0,4.0,2.0,0.0,0.0,4.0,25.0,13.0,1.0,12.0,1.0,1.0,3.0,0.0,0.0,8.0,40.0,19.0,16.0,4.0,10.0
882,1.0,4.0,1.0,1.0,0.0,1.0,6.0,10.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,5.0,12.0,7.0,2.0,0.0
887,0.0,0.0,3.0,0.0,0.0,55.0,39.0,169.0,65.0,67.0,1.0,1.0,2.0,1.0,0.0,89.0,32.0,118.0,183.0,76.0,51.0
888,528.0,160.0,190.0,1325.0,1.0,119.0,103.0,492.0,100.0,102.0,997.0,176.0,157.0,627.0,771.0,241.0,330.0,258.0,286.0,162.0,38.0
89,439.0,2235.0,210.0,1246.0,219.0,158.0,2265.0,573.0,140.0,283.0,674.0,1779.0,131.0,518.0,815.0,279.0,3985.0,435.0,305.0,297.0,195.0
892,1.0,0.0,26.0,0.0,1.0,31.0,243.0,66.0,37.0,12.0,0.0,0.0,11.0,1.0,0.0,41.0,190.0,172.0,127.0,40.0,10.0
897,0.0,0.0,0.0,6.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,3.0
904,0.0,1.0,4.0,0.0,0.0,9.0,7.0,8.0,5.0,3.0,2.0,1.0,3.0,0.0,0.0,3.0,22.0,6.0,6.0,7.0,0.0
