strain_id,A_MTX_5-FC.SRO9_SGN1,A_MTX_Fluconazole.SRO9_SGN1,A_MTX_Metformin.SRO9_SGN1,A_MTX_Trifluoperazine.SRO9_SGN1,A_MTX_noDrug.SRO9_SGN1,A_noMTX_5-FC.SRO9_SGN1,A_noMTX_Fluconazole.SRO9_SGN1,A_noMTX_Metformin.SRO9_SGN1,A_noMTX_Trifluoperazine.SRO9_SGN1,A_noMTX_noDrug.SRO9_SGN1,B_MTX_5-FC.SRO9_SGN1,B_MTX_Fluconazole.SRO9_SGN1,B_MTX_Metformin.SRO9_SGN1,B_MTX_Trifluoperazine.SRO9_SGN1,B_MTX_noDrug.SRO9_SGN1,B_noMTX_5-FC.SRO9_SGN1,B_noMTX_Fluconazole.SRO9_SGN1,B_noMTX_Metformin.SRO9_SGN1,B_noMTX_Trifluoperazine.SRO9_SGN1,B_noMTX_noDrug.SRO9_SGN1,T0_noMTX_noDrug.SRO9_SGN1
574,7.0,0.0,483,1.0,1.0,117.0,1.0,242.0,34.0,113.0,11.0,4.0,294,1.0,6.0,563,59.0,50.0,117.0,20.0,14.0
576,10.0,60.0,519,4.0,5.0,131.0,4.0,596.0,18.0,51.0,8.0,5.0,298,9.0,50.0,464,11.0,55.0,79.0,21.0,24.0
578,454.0,1903.0,3100,490.0,585.0,233.0,323.0,619.0,402.0,786.0,606.0,1530.0,973,665.0,1506.0,833,560.0,161.0,729.0,87.0,60.0
58,2.0,1.0,29,1.0,2.0,3.0,1.0,19.0,8.0,5.0,2.0,0.0,27,1.0,21.0,18,1.0,3.0,13.0,1.0,7.0
581,8.0,12.0,45,1.0,2.0,25.0,14.0,61.0,16.0,10.0,4.0,9.0,57,3.0,7.0,47,21.0,25.0,56.0,9.0,7.0
586,29.0,21.0,215,24.0,22.0,121.0,2.0,447.0,66.0,235.0,34.0,66.0,121,27.0,129.0,555,6.0,51.0,183.0,68.0,14.0
588,24.0,0.0,306,7.0,2.0,18.0,7.0,316.0,41.0,46.0,16.0,3.0,444,11.0,55.0,265,0.0,15.0,78.0,7.0,6.0
589,6.0,30.0,345,4.0,8.0,111.0,450.0,251.0,116.0,110.0,22.0,59.0,274,6.0,86.0,448,608.0,69.0,264.0,118.0,34.0
590,25.0,5.0,278,9.0,17.0,83.0,9.0,739.0,88.0,371.0,46.0,23.0,260,22.0,118.0,465,109.0,54.0,280.0,75.0,18.0
596,1.0,1.0,85,0.0,3.0,10.0,164.0,133.0,38.0,57.0,2.0,0.0,122,0.0,15.0,167,64.0,14.0,96.0,27.0,7.0
598,392.0,77.0,1389,110.0,176.0,344.0,7.0,841.0,263.0,166.0,587.0,7.0,1424,331.0,732.0,829,66.0,140.0,630.0,34.0,45.0
599,1964.0,23.0,5447,854.0,1028.0,440.0,53.0,2418.0,395.0,417.0,3183.0,29.0,5124,1882.0,5695.0,1743,18.0,392.0,1019.0,78.0,90.0
599_ref1,8.0,0.0,50,7.0,2.0,188.0,31.0,405.0,141.0,108.0,14.0,1.0,13,7.0,7.0,1717,34.0,106.0,268.0,20.0,400.0
599_ref2,8.0,1.0,19,4.0,0.0,131.0,4.0,301.0,101.0,43.0,7.0,0.0,18,1.0,19.0,1221,5.0,41.0,368.0,21.0,341.0
6,6.0,5.0,169,5.0,3.0,8.0,7.0,142.0,19.0,36.0,15.0,6.0,144,8.0,51.0,107,5.0,7.0,35.0,14.0,3.0
60,401.0,0.0,639,57.0,117.0,165.0,13.0,398.0,140.0,157.0,385.0,0.0,1331,100.0,443.0,855,40.0,44.0,346.0,32.0,18.0
61,2.0,0.0,18,0.0,1.0,0.0,2.0,6.0,6.0,3.0,4.0,0.0,20,1.0,6.0,21,3.0,2.0,8.0,1.0,0.0
611,18.0,44.0,609,7.0,3.0,117.0,69.0,416.0,77.0,186.0,45.0,24.0,889,19.0,59.0,683,133.0,39.0,201.0,13.0,36.0
616,601.0,11.0,2055,91.0,506.0,187.0,195.0,480.0,158.0,215.0,820.0,0.0,2399,205.0,1493.0,709,58.0,124.0,356.0,51.0,48.0
619,14.0,1.0,86,9.0,6.0,5.0,3.0,117.0,17.0,11.0,25.0,8.0,103,6.0,131.0,127,0.0,7.0,61.0,0.0,1.0
622,46.0,11.0,288,16.0,16.0,251.0,5.0,617.0,100.0,404.0,35.0,17.0,313,28.0,139.0,1228,8.0,123.0,470.0,93.0,16.0
627,96.0,1.0,250,33.0,30.0,63.0,4.0,231.0,49.0,76.0,291.0,11.0,182,40.0,104.0,289,6.0,14.0,93.0,14.0,11.0
631,2953.0,27.0,13435,1170.0,1666.0,2563.0,135.0,10671.0,1509.0,4577.0,5312.0,56.0,10030,1687.0,7256.0,14108,231.0,1771.0,4923.0,845.0,206.0
632,128.0,6.0,1150,41.0,65.0,208.0,21.0,881.0,224.0,892.0,160.0,2.0,1399,111.0,802.0,1669,80.0,97.0,458.0,66.0,16.0
636,14.0,0.0,249,1.0,15.0,116.0,12.0,360.0,175.0,122.0,13.0,0.0,254,3.0,60.0,640,6.0,60.0,284.0,25.0,21.0
638,113.0,5.0,242,13.0,25.0,74.0,3.0,92.0,13.0,85.0,237.0,0.0,222,29.0,245.0,265,1.0,21.0,61.0,4.0,28.0
639,75.0,28.0,289,19.0,67.0,32.0,7.0,96.0,34.0,89.0,144.0,8.0,324,45.0,238.0,248,24.0,13.0,39.0,15.0,7.0
64,347.0,33.0,2485,183.0,420.0,276.0,328.0,1339.0,293.0,451.0,796.0,31.0,3427,659.0,1351.0,1278,202.0,318.0,892.0,65.0,97.0
640,187.0,12.0,244,27.0,123.0,99.0,92.0,201.0,98.0,215.0,352.0,0.0,475,42.0,740.0,452,131.0,44.0,87.0,25.0,24.0
642,502.0,43.0,2093,115.0,245.0,131.0,13.0,489.0,79.0,149.0,881.0,45.0,1115,178.0,3357.0,827,30.0,100.0,214.0,29.0,17.0
648,71.0,159.0,184,20.0,68.0,96.0,23.0,424.0,74.0,237.0,91.0,70.0,197,15.0,128.0,803,579.0,25.0,174.0,39.0,12.0
649,745.0,8.0,6983,223.0,296.0,147.0,5.0,867.0,274.0,241.0,1390.0,25.0,2954,383.0,1852.0,1447,4.0,100.0,456.0,29.0,37.0
65,10.0,19.0,42,7.0,12.0,7.0,15.0,34.0,22.0,28.0,15.0,3.0,79,11.0,37.0,74,3.0,2.0,30.0,6.0,4.0
651,343.0,19.0,2527,221.0,460.0,529.0,78.0,1359.0,515.0,1474.0,1067.0,60.0,1548,356.0,1315.0,2620,21.0,322.0,910.0,75.0,97.0
652,1807.0,190.0,8270,1027.0,1031.0,657.0,267.0,2587.0,807.0,741.0,3684.0,138.0,6551,1713.0,5779.0,2666,94.0,438.0,1686.0,101.0,217.0
653,33.0,50.0,232,10.0,12.0,51.0,18.0,793.0,99.0,195.0,37.0,50.0,305,19.0,82.0,445,19.0,33.0,177.0,23.0,12.0
657,293.0,458.0,1395,166.0,188.0,232.0,610.0,1696.0,242.0,386.0,761.0,430.0,1816,276.0,936.0,1485,103.0,120.0,1043.0,70.0,62.0
658,466.0,1.0,357,73.0,65.0,254.0,0.0,245.0,40.0,437.0,669.0,2.0,407,48.0,547.0,923,1.0,18.0,208.0,10.0,29.0
66,3.0,3.0,226,2.0,0.0,92.0,3.0,240.0,26.0,34.0,6.0,7.0,267,1.0,3.0,396,26.0,40.0,56.0,5.0,52.0
660,95.0,10.0,529,37.0,127.0,51.0,12.0,146.0,37.0,118.0,158.0,6.0,188,39.0,418.0,276,16.0,10.0,105.0,12.0,19.0
666,221.0,518.0,878,69.0,96.0,73.0,92.0,334.0,115.0,192.0,468.0,483.0,242,75.0,528.0,378,89.0,92.0,188.0,15.0,38.0
667,380.0,1221.0,1341,150.0,321.0,155.0,262.0,391.0,199.0,377.0,655.0,2153.0,1031,366.0,405.0,708,43.0,96.0,434.0,75.0,21.0
668,36.0,61.0,146,18.0,15.0,60.0,23.0,176.0,58.0,168.0,33.0,24.0,135,14.0,104.0,246,25.0,16.0,99.0,21.0,9.0
673,33812.0,519.0,105871,19565.0,12919.0,14810.0,2784.0,73690.0,14433.0,12622.0,75418.0,30952.0,74318,23468.0,60195.0,84216,812.0,9191.0,39324.0,2033.0,3133.0
674,619.0,164.0,3001,583.0,364.0,282.0,102.0,1463.0,335.0,434.0,1502.0,179.0,2686,940.0,2835.0,1878,126.0,198.0,1112.0,55.0,71.0
676,1232.0,52.0,4147,1062.0,1531.0,574.0,85.0,1742.0,507.0,1071.0,3657.0,91.0,2540,1354.0,6096.0,2180,122.0,298.0,1263.0,184.0,89.0
677,2.0,2.0,191,2.0,1.0,55.0,325.0,207.0,42.0,175.0,3.0,0.0,82,2.0,27.0,337,26.0,32.0,93.0,30.0,16.0
683,2.0,8.0,485,2.0,1.0,162.0,15.0,692.0,210.0,296.0,10.0,1.0,408,14.0,26.0,664,23.0,51.0,568.0,37.0,66.0
685,9.0,17.0,356,3.0,3.0,475.0,852.0,887.0,187.0,560.0,15.0,57.0,424,3.0,40.0,1814,210.0,179.0,278.0,55.0,71.0
689,223.0,198.0,259,205.0,1198.0,34.0,4.0,117.0,28.0,122.0,1172.0,11.0,392,352.0,1856.0,145,9.0,10.0,88.0,14.0,9.0
690,102.0,14.0,300,9.0,23.0,687.0,206.0,453.0,171.0,1105.0,162.0,22.0,215,13.0,109.0,3130,293.0,56.0,213.0,50.0,40.0
692,9.0,0.0,123,0.0,2.0,35.0,50.0,83.0,53.0,80.0,1.0,0.0,47,0.0,11.0,357,215.0,17.0,100.0,29.0,17.0
693,40.0,30.0,995,42.0,26.0,376.0,60.0,771.0,111.0,576.0,41.0,17.0,1061,64.0,227.0,1838,142.0,110.0,680.0,68.0,59.0
695,801.0,11.0,5329,310.0,945.0,393.0,130.0,2005.0,399.0,757.0,1763.0,61.0,3859,366.0,2427.0,1401,140.0,337.0,744.0,116.0,95.0
697,34.0,4.0,300,9.0,17.0,24.0,33.0,192.0,44.0,188.0,26.0,4.0,528,9.0,287.0,349,103.0,48.0,168.0,44.0,17.0
7,31.0,2.0,45,7.0,7.0,11.0,10.0,69.0,13.0,50.0,14.0,1.0,59,10.0,33.0,122,6.0,14.0,45.0,7.0,4.0
701,20.0,16.0,622,3.0,14.0,22.0,11.0,123.0,72.0,70.0,9.0,1048.0,138,37.0,16.0,140,46.0,46.0,136.0,22.0,12.0
702,34.0,5.0,1854,21.0,11.0,271.0,727.0,992.0,229.0,451.0,106.0,58.0,891,43.0,125.0,1401,169.0,140.0,786.0,81.0,86.0
703,173.0,13.0,978,143.0,332.0,84.0,5.0,312.0,140.0,88.0,455.0,11.0,759,105.0,843.0,298,85.0,62.0,349.0,5.0,16.0
705,8.0,0.0,602,1.0,1.0,118.0,16.0,944.0,102.0,232.0,19.0,2.0,268,10.0,3.0,553,19.0,145.0,220.0,34.0,55.0
709,141.0,38.0,2239,241.0,276.0,58.0,28.0,314.0,110.0,98.0,365.0,87.0,1621,379.0,936.0,306,38.0,34.0,349.0,22.0,41.0
711,0.0,0.0,36,2.0,3.0,9.0,0.0,43.0,10.0,18.0,16.0,0.0,13,0.0,17.0,111,2.0,2.0,25.0,1.0,1.0
713,225.0,91.0,382,167.0,935.0,40.0,9.0,95.0,36.0,130.0,942.0,2.0,361,229.0,1863.0,100,4.0,16.0,87.0,22.0,19.0
715,0.0,1.0,31,0.0,3.0,10.0,5.0,48.0,24.0,44.0,2.0,0.0,23,2.0,5.0,122,9.0,3.0,32.0,2.0,9.0
717,1617.0,80.0,5122,1030.0,1145.0,769.0,17.0,2433.0,794.0,910.0,3713.0,23.0,4231,1648.0,5003.0,3776,44.0,448.0,2556.0,115.0,240.0
721,22.0,10.0,433,12.0,22.0,77.0,195.0,243.0,43.0,165.0,38.0,88.0,225,64.0,79.0,237,109.0,44.0,122.0,23.0,14.0
724,30.0,10.0,660,15.0,12.0,102.0,9.0,488.0,185.0,110.0,35.0,4.0,627,15.0,84.0,526,18.0,32.0,370.0,23.0,12.0
727,1267.0,54.0,6508,758.0,771.0,583.0,53.0,5328.0,433.0,772.0,2714.0,73.0,7863,1304.0,3158.0,3174,18.0,1075.0,1819.0,183.0,120.0
729,1692.0,368.0,6667,1602.0,1305.0,703.0,276.0,4521.0,709.0,728.0,4433.0,1263.0,7384,1593.0,5986.0,4112,704.0,727.0,2437.0,135.0,126.0
731,234.0,4.0,5453,59.0,78.0,2190.0,190.0,5746.0,2624.0,2956.0,256.0,36.0,3869,252.0,103.0,10708,1562.0,1131.0,5688.0,798.0,630.0
732,21.0,5.0,6286,18.0,13.0,690.0,225.0,4537.0,832.0,1198.0,43.0,7.0,7200,25.0,62.0,3668,130.0,892.0,2126.0,180.0,178.0
734,214.0,5.0,229,147.0,539.0,26.0,13.0,184.0,54.0,63.0,276.0,0.0,253,100.0,741.0,278,14.0,22.0,120.0,18.0,8.0
735,11.0,0.0,385,1.0,1.0,103.0,5.0,279.0,101.0,129.0,14.0,0.0,325,2.0,21.0,360,10.0,62.0,239.0,26.0,19.0
738,45.0,67.0,170,3.0,42.0,151.0,191.0,311.0,92.0,511.0,93.0,47.0,183,5.0,47.0,737,888.0,41.0,191.0,35.0,28.0
739,150.0,23.0,1349,36.0,55.0,1206.0,100.0,2519.0,1378.0,2921.0,86.0,4.0,1383,50.0,154.0,5915,305.0,400.0,2274.0,318.0,371.0
740,26.0,3.0,260,14.0,8.0,16.0,7.0,202.0,77.0,71.0,15.0,2.0,332,9.0,58.0,348,39.0,27.0,125.0,15.0,2.0
741,110.0,16.0,497,60.0,68.0,148.0,5.0,525.0,65.0,199.0,127.0,14.0,695,116.0,298.0,478,6.0,20.0,146.0,17.0,25.0
742,182.0,9.0,2234,117.0,81.0,321.0,1041.0,2557.0,826.0,841.0,168.0,111.0,1734,127.0,670.0,1819,972.0,567.0,1857.0,146.0,56.0
748,11.0,15.0,861,4.0,7.0,264.0,10.0,699.0,331.0,1058.0,14.0,19.0,834,24.0,31.0,1846,534.0,105.0,586.0,90.0,74.0
749,24.0,7.0,461,5.0,5.0,148.0,30.0,386.0,100.0,224.0,61.0,1.0,339,11.0,45.0,446,104.0,69.0,251.0,35.0,23.0
754,29.0,11.0,498,6.0,3.0,253.0,196.0,272.0,266.0,495.0,39.0,0.0,568,8.0,19.0,601,448.0,78.0,226.0,20.0,35.0
755,6.0,3.0,19,0.0,1.0,11.0,10.0,24.0,24.0,47.0,1.0,0.0,58,4.0,15.0,81,1.0,10.0,41.0,5.0,5.0
756,1392.0,194.0,7006,1327.0,1294.0,1281.0,134.0,3597.0,1032.0,1946.0,3647.0,996.0,5484,2091.0,6688.0,6091,560.0,494.0,2224.0,286.0,526.0
760,2406.0,262.0,8636,651.0,1593.0,664.0,5170.0,2501.0,417.0,1416.0,5720.0,100.0,8899,695.0,6061.0,3480,53.0,274.0,1266.0,113.0,126.0
77,32.0,173.0,239,9.0,8.0,104.0,284.0,169.0,33.0,263.0,88.0,2010.0,329,10.0,19.0,487,797.0,24.0,326.0,35.0,12.0
772,17.0,78.0,260,19.0,74.0,18.0,32.0,181.0,23.0,78.0,97.0,76.0,393,42.0,202.0,189,50.0,22.0,67.0,21.0,12.0
775,68.0,3.0,2174,53.0,43.0,346.0,49.0,1538.0,324.0,359.0,167.0,15.0,2688,174.0,86.0,1791,29.0,203.0,1000.0,66.0,91.0
778,110.0,10.0,305,124.0,142.0,50.0,16.0,168.0,73.0,63.0,201.0,3.0,179,193.0,122.0,174,9.0,31.0,190.0,57.0,34.0
78,3.0,0.0,41,1.0,0.0,25.0,2.0,48.0,33.0,77.0,0.0,0.0,24,1.0,9.0,87,8.0,11.0,45.0,25.0,2.0
782,4.0,2.0,100,0.0,3.0,73.0,35.0,208.0,41.0,41.0,12.0,3.0,283,3.0,6.0,304,26.0,32.0,122.0,28.0,8.0
783,612.0,779.0,2487,365.0,1652.0,228.0,95.0,446.0,79.0,177.0,3330.0,1059.0,1283,652.0,5143.0,600,346.0,127.0,310.0,18.0,34.0
784,7.0,42.0,503,3.0,15.0,221.0,7.0,139.0,69.0,862.0,12.0,20.0,180,6.0,33.0,699,18.0,38.0,167.0,25.0,22.0
789,25.0,2.0,1492,6.0,4.0,264.0,3.0,837.0,490.0,269.0,38.0,1.0,706,10.0,13.0,1317,6.0,137.0,759.0,20.0,166.0
790,79.0,62.0,546,37.0,46.0,37.0,26.0,159.0,62.0,35.0,79.0,3.0,398,127.0,349.0,186,19.0,56.0,96.0,21.0,26.0
791,78.0,242.0,619,84.0,58.0,35.0,14.0,230.0,53.0,140.0,67.0,65.0,463,130.0,336.0,309,34.0,29.0,114.0,25.0,24.0
795,620.0,20.0,28416,273.0,139.0,4910.0,563.0,15588.0,2849.0,5456.0,834.0,6.0,32886,459.0,634.0,17806,904.0,3095.0,8566.0,807.0,341.0
796,8.0,29.0,252,6.0,8.0,98.0,151.0,473.0,110.0,476.0,29.0,55.0,175,3.0,44.0,484,223.0,70.0,391.0,117.0,66.0
797,10.0,23.0,342,8.0,7.0,42.0,6.0,308.0,35.0,92.0,10.0,8.0,145,18.0,43.0,336,21.0,24.0,494.0,20.0,17.0
798,173.0,16.0,6944,39.0,35.0,1853.0,2542.0,7704.0,2017.0,3530.0,76.0,111.0,4200,66.0,148.0,7721,758.0,1395.0,6471.0,902.0,345.0
800,5.0,4.0,24,0.0,6.0,4.0,7.0,48.0,14.0,11.0,2.0,0.0,27,3.0,15.0,53,7.0,1.0,33.0,3.0,1.0
801,9.0,4240.0,56,14.0,17.0,9.0,62.0,99.0,15.0,35.0,18.0,8269.0,97,50.0,52.0,59,96.0,6.0,43.0,1.0,31.0
803,3.0,1.0,232,1.0,0.0,209.0,37.0,829.0,39.0,22.0,0.0,0.0,1542,2.0,3.0,869,5.0,193.0,651.0,6.0,16.0
804,388.0,7124.0,1242,85.0,212.0,143.0,520.0,276.0,103.0,241.0,1023.0,2616.0,894,114.0,1745.0,540,329.0,21.0,163.0,20.0,18.0
805,196.0,42.0,500,43.0,49.0,89.0,175.0,233.0,96.0,375.0,327.0,197.0,513,76.0,1108.0,504,3.0,50.0,213.0,15.0,12.0
807,9.0,0.0,760,0.0,0.0,154.0,51.0,195.0,139.0,92.0,8.0,1.0,725,0.0,18.0,1011,40.0,51.0,132.0,22.0,8.0
808,47.0,26.0,382,22.0,20.0,98.0,5.0,313.0,77.0,200.0,58.0,8.0,314,19.0,295.0,419,39.0,35.0,174.0,23.0,7.0
809,1257.0,50.0,5954,1014.0,2149.0,490.0,36.0,2795.0,462.0,743.0,2734.0,45.0,6727,1364.0,5783.0,2157,118.0,531.0,1418.0,114.0,185.0
81,135.0,61.0,97,17.0,27.0,64.0,4.0,41.0,22.0,13.0,124.0,35.0,126,8.0,112.0,193,97.0,11.0,10.0,1.0,8.0
811,40.0,55.0,326,32.0,41.0,26.0,36.0,207.0,75.0,65.0,25.0,26.0,379,38.0,107.0,274,17.0,17.0,87.0,29.0,4.0
812,6.0,10.0,70,3.0,7.0,11.0,10.0,203.0,38.0,128.0,8.0,4.0,108,6.0,41.0,213,15.0,8.0,82.0,15.0,3.0
813,77.0,15.0,2037,55.0,76.0,373.0,236.0,1770.0,477.0,924.0,140.0,47.0,1896,108.0,563.0,1971,1313.0,352.0,1287.0,109.0,80.0
819,13.0,25.0,1976,8.0,0.0,942.0,632.0,1156.0,615.0,505.0,20.0,3.0,1722,14.0,38.0,4788,48.0,396.0,1275.0,88.0,67.0
821,11.0,2.0,282,3.0,2.0,87.0,46.0,232.0,88.0,146.0,14.0,9.0,111,6.0,20.0,727,29.0,35.0,161.0,41.0,28.0
823,43.0,3.0,909,20.0,53.0,89.0,39.0,418.0,216.0,111.0,64.0,10.0,1064,78.0,236.0,575,103.0,56.0,259.0,29.0,18.0
830,5.0,10.0,68,0.0,4.0,35.0,102.0,161.0,62.0,180.0,4.0,4.0,49,2.0,19.0,323,4.0,20.0,78.0,6.0,8.0
833,275.0,23.0,1667,45.0,155.0,99.0,38.0,513.0,190.0,304.0,1107.0,13.0,1310,75.0,661.0,1032,19.0,56.0,242.0,26.0,36.0
835,48.0,28.0,152,21.0,13.0,57.0,5.0,134.0,39.0,139.0,118.0,39.0,203,42.0,137.0,320,69.0,17.0,27.0,10.0,16.0
837,587.0,29.0,2396,294.0,304.0,345.0,74.0,2056.0,311.0,855.0,1370.0,18.0,2027,246.0,1827.0,2239,99.0,248.0,751.0,97.0,74.0
838,42180.0,4093.0,230247,18998.0,25098.0,18189.0,1405.0,38485.0,18621.0,22970.0,105556.0,37656.0,169203,27108.0,156978.0,89898,2985.0,9209.0,23464.0,1742.0,2633.0
839,46.0,8.0,1280,31.0,36.0,375.0,4.0,676.0,174.0,488.0,61.0,4.0,1153,41.0,247.0,1810,11.0,132.0,242.0,44.0,13.0
841,74.0,17997.0,666,716.0,185.0,107.0,238.0,254.0,317.0,392.0,509.0,15865.0,815,829.0,603.0,608,237.0,48.0,858.0,47.0,166.0
842,401.0,717.0,975,438.0,577.0,201.0,24.0,742.0,192.0,393.0,1228.0,365.0,1757,1031.0,1322.0,1553,501.0,106.0,535.0,49.0,107.0
843,236.0,647.0,5900,165.0,121.0,3910.0,16274.0,16797.0,2729.0,14922.0,650.0,2300.0,5658,241.0,578.0,21349,32959.0,2413.0,10737.0,2714.0,1944.0
848,357.0,331.0,886,104.0,156.0,135.0,81.0,593.0,77.0,393.0,751.0,2129.0,694,39.0,674.0,826,56.0,45.0,176.0,15.0,69.0
850,121.0,43.0,2634,22.0,46.0,672.0,590.0,4214.0,1032.0,926.0,140.0,237.0,3240,63.0,121.0,2718,1010.0,745.0,3091.0,149.0,130.0
853,1729.0,390.0,8478,1042.0,1298.0,1932.0,106.0,5161.0,1656.0,1717.0,6426.0,638.0,11762,634.0,5202.0,7999,677.0,542.0,3553.0,234.0,532.0
854,17.0,24.0,729,1.0,3.0,84.0,59.0,86.0,86.0,177.0,18.0,11.0,375,4.0,16.0,288,44.0,42.0,127.0,7.0,30.0
857,162.0,264.0,18817,31.0,17.0,9641.0,3535.0,26678.0,10329.0,16362.0,593.0,4320.0,15126,74.0,49.0,37178,3621.0,4803.0,14593.0,1590.0,2554.0
859,189.0,91.0,1263,57.0,261.0,48.0,159.0,198.0,47.0,131.0,342.0,48.0,908,103.0,2040.0,233,18.0,26.0,82.0,12.0,26.0
860,135.0,81.0,1483,83.0,60.0,196.0,92.0,1651.0,364.0,524.0,85.0,30.0,1221,103.0,300.0,1702,92.0,202.0,535.0,56.0,70.0
862,326.0,55.0,2273,194.0,142.0,77.0,43.0,1380.0,302.0,329.0,279.0,19.0,2456,144.0,1580.0,1643,43.0,64.0,461.0,56.0,19.0
868,22.0,0.0,355,48.0,181.0,119.0,35.0,197.0,72.0,265.0,74.0,140.0,183,92.0,166.0,713,9.0,28.0,129.0,28.0,18.0
869,107.0,7.0,792,59.0,52.0,268.0,1.0,176.0,31.0,226.0,275.0,0.0,1259,55.0,255.0,969,23.0,31.0,196.0,46.0,11.0
87,9.0,89.0,63,1.0,19.0,16.0,1.0,42.0,14.0,20.0,8.0,3.0,59,16.0,52.0,60,1.0,14.0,83.0,12.0,10.0
870,1.0,13.0,9,1.0,0.0,0.0,2.0,12.0,3.0,3.0,1.0,1.0,8,1.0,7.0,23,4.0,2.0,11.0,2.0,1.0
871,18.0,9.0,70,3.0,0.0,4.0,2.0,37.0,6.0,24.0,9.0,7.0,169,9.0,8.0,38,6.0,6.0,8.0,3.0,0.0
879,4.0,0.0,316,2.0,3.0,91.0,4.0,241.0,29.0,109.0,27.0,0.0,124,0.0,5.0,345,79.0,18.0,45.0,16.0,19.0
880,0.0,6.0,8,2.0,3.0,0.0,10.0,21.0,11.0,3.0,0.0,4.0,7,1.0,7.0,5,0.0,5.0,15.0,2.0,1.0
882,3.0,2.0,13,2.0,1.0,4.0,10.0,42.0,13.0,7.0,4.0,3.0,24,0.0,9.0,21,3.0,7.0,7.0,8.0,1.0
887,2.0,4.0,62,18.0,7.0,10.0,22.0,48.0,17.0,87.0,11.0,0.0,80,19.0,11.0,27,3.0,11.0,95.0,12.0,13.0
888,834.0,39.0,1717,218.0,416.0,558.0,359.0,1602.0,356.0,689.0,1590.0,218.0,1123,449.0,1359.0,2821,85.0,241.0,906.0,95.0,51.0
89,1603.0,24211.0,1438,1779.0,2532.0,687.0,5212.0,1513.0,209.0,2489.0,5826.0,61967.0,1493,1812.0,7145.0,3131,6663.0,265.0,1127.0,421.0,192.0
892,3.0,0.0,83,0.0,3.0,15.0,1.0,26.0,8.0,74.0,2.0,0.0,11,2.0,2.0,50,45.0,7.0,9.0,3.0,6.0
897,1.0,4.0,3,0.0,0.0,1.0,1.0,8.0,0.0,3.0,2.0,2.0,6,1.0,0.0,8,2.0,1.0,3.0,1.0,0.0
904,4.0,1.0,6,1.0,3.0,1.0,7.0,8.0,6.0,7.0,0.0,0.0,15,1.0,9.0,13,25.0,1.0,4.0,1.0,1.0
91,118.0,205.0,319,117.0,69.0,40.0,24.0,211.0,48.0,65.0,232.0,1064.0,316,198.0,872.0,256,9.0,26.0,166.0,35.0,15.0
911,787.0,197.0,4016,182.0,452.0,561.0,497.0,1134.0,444.0,581.0,2652.0,114.0,2160,197.0,2571.0,2045,277.0,272.0,789.0,41.0,98.0
916,144.0,25.0,430,81.0,50.0,70.0,9.0,291.0,41.0,140.0,244.0,32.0,518,114.0,508.0,237,287.0,32.0,162.0,36.0,22.0
923,6.0,13.0,134,6.0,2.0,94.0,137.0,204.0,146.0,32.0,4.0,3.0,15,5.0,9.0,510,36.0,29.0,220.0,38.0,39.0
924,6.0,7.0,101,1.0,12.0,7.0,4.0,113.0,8.0,14.0,2.0,0.0,35,10.0,4.0,94,4.0,10.0,24.0,2.0,1.0
930,9.0,6.0,110,3.0,3.0,40.0,6.0,125.0,49.0,84.0,5.0,1.0,118,2.0,12.0,388,80.0,33.0,180.0,16.0,10.0
931,236.0,5.0,2966,148.0,280.0,230.0,109.0,861.0,158.0,310.0,559.0,7.0,1344,96.0,1051.0,938,30.0,165.0,466.0,48.0,52.0
933,81.0,966.0,443,18.0,58.0,106.0,270.0,245.0,82.0,230.0,228.0,273.0,340,14.0,215.0,370,383.0,32.0,172.0,21.0,49.0
936,57.0,22.0,330,154.0,36.0,29.0,12.0,143.0,71.0,56.0,167.0,13.0,362,146.0,218.0,97,9.0,20.0,117.0,37.0,5.0
937,5.0,1.0,32,2.0,10.0,2.0,13.0,46.0,20.0,20.0,6.0,1.0,50,3.0,18.0,53,9.0,12.0,24.0,16.0,6.0
939,275.0,43.0,2065,299.0,562.0,290.0,10.0,634.0,252.0,626.0,874.0,131.0,1956,596.0,2129.0,1032,58.0,133.0,677.0,95.0,102.0
94,280.0,87.0,1008,67.0,169.0,39.0,6.0,129.0,70.0,37.0,188.0,1984.0,1242,119.0,236.0,325,8.0,43.0,69.0,11.0,15.0
941,3.0,0.0,75,2.0,3.0,7.0,3.0,83.0,17.0,42.0,7.0,0.0,66,2.0,40.0,146,2.0,1.0,29.0,1.0,9.0
942,223.0,41.0,521,59.0,75.0,110.0,57.0,384.0,98.0,527.0,456.0,0.0,400,40.0,360.0,687,58.0,49.0,159.0,31.0,15.0
943,0.0,27.0,19,0.0,1.0,2.0,9.0,14.0,6.0,1.0,1.0,19.0,10,1.0,5.0,24,11.0,0.0,5.0,2.0,0.0
945,2.0,9.0,34,0.0,5.0,87.0,3.0,54.0,22.0,165.0,2.0,4.0,63,2.0,4.0,538,3.0,16.0,52.0,9.0,5.0
946,3.0,3.0,80,0.0,3.0,8.0,7.0,50.0,16.0,6.0,4.0,2.0,47,3.0,6.0,69,32.0,3.0,22.0,1.0,6.0
953,141.0,15.0,867,35.0,99.0,284.0,11.0,329.0,58.0,408.0,477.0,27.0,1352,47.0,937.0,1141,147.0,40.0,132.0,29.0,36.0
