strain_id,A_MTX_5-FC.GTR1_SLM4,A_MTX_Fluconazole.GTR1_SLM4,A_MTX_Metformin.GTR1_SLM4,A_MTX_Trifluoperazine.GTR1_SLM4,A_MTX_noDrug.GTR1_SLM4,A_noMTX_5-FC.GTR1_SLM4,A_noMTX_Fluconazole.GTR1_SLM4,A_noMTX_Metformin.GTR1_SLM4,A_noMTX_Trifluoperazine.GTR1_SLM4,A_noMTX_noDrug.GTR1_SLM4,B_MTX_5-FC.GTR1_SLM4,B_MTX_Fluconazole.GTR1_SLM4,B_MTX_Metformin.GTR1_SLM4,B_MTX_Trifluoperazine.GTR1_SLM4,B_MTX_noDrug.GTR1_SLM4,B_noMTX_5-FC.GTR1_SLM4,B_noMTX_Fluconazole.GTR1_SLM4,B_noMTX_Metformin.GTR1_SLM4,B_noMTX_Trifluoperazine.GTR1_SLM4,B_noMTX_noDrug.GTR1_SLM4,T0_noMTX_noDrug.GTR1_SLM4
541,8.0,34.0,533.0,7.0,13.0,988.0,450.0,559.0,1258.0,144.0,30.0,21.0,215.0,38.0,14.0,1126.0,696.0,1702.0,1354.0,899.0,776.0
543,3.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,14.0,1.0,5.0,0.0,2.0,18.0,4.0,4.0,2.0,7.0,11.0,3.0,3.0
545,26.0,508.0,12.0,15.0,22.0,5.0,13.0,6.0,7.0,7.0,32.0,160.0,12.0,50.0,13.0,18.0,20.0,7.0,14.0,21.0,4.0
546,6.0,4.0,6.0,1.0,3.0,17.0,48.0,35.0,15.0,16.0,7.0,2.0,19.0,3.0,2.0,39.0,17.0,24.0,38.0,62.0,10.0
557,21.0,4.0,6.0,5.0,24.0,9.0,4.0,14.0,16.0,14.0,13.0,2.0,8.0,34.0,4.0,38.0,8.0,21.0,29.0,20.0,4.0
559,8.0,2.0,10.0,2.0,7.0,8.0,8.0,12.0,54.0,3.0,7.0,0.0,9.0,56.0,9.0,7.0,1.0,21.0,13.0,14.0,3.0
564,11.0,44.0,16.0,10.0,20.0,11.0,15.0,11.0,63.0,8.0,26.0,31.0,11.0,75.0,4.0,22.0,11.0,20.0,37.0,28.0,7.0
567,20.0,14.0,38.0,4.0,31.0,11.0,16.0,43.0,61.0,17.0,32.0,0.0,69.0,36.0,9.0,28.0,11.0,54.0,50.0,36.0,8.0
57,2.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,10.0,0.0,5.0,0.0,5.0,10.0,3.0,11.0,0.0,7.0,7.0,5.0,2.0
571,28.0,2.0,9.0,1.0,27.0,8.0,8.0,8.0,27.0,3.0,38.0,1.0,14.0,97.0,46.0,7.0,1.0,20.0,22.0,21.0,2.0
574,9.0,1.0,5.0,1.0,1.0,9.0,3.0,8.0,41.0,2.0,6.0,0.0,12.0,20.0,5.0,6.0,2.0,33.0,20.0,16.0,6.0
576,1.0,19.0,3.0,2.0,5.0,2.0,1.0,3.0,16.0,2.0,5.0,3.0,0.0,7.0,6.0,7.0,2.0,4.0,13.0,12.0,0.0
578,257.0,1669.0,76.0,228.0,361.0,24.0,180.0,37.0,51.0,22.0,255.0,616.0,157.0,1080.0,353.0,52.0,75.0,33.0,69.0,87.0,22.0
58,1.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,2.0,4.0,4.0,7.0,3.0,3.0,3.0,1.0,16.0
581,12.0,14.0,362.0,2.0,6.0,1662.0,185.0,1402.0,3125.0,285.0,2.0,8.0,175.0,23.0,2.0,2044.0,472.0,4600.0,3118.0,2303.0,1329.0
586,17.0,29.0,11.0,8.0,38.0,12.0,8.0,19.0,45.0,17.0,22.0,17.0,23.0,29.0,8.0,40.0,7.0,18.0,35.0,27.0,10.0
588,19.0,6.0,25.0,4.0,8.0,13.0,27.0,18.0,33.0,16.0,14.0,1.0,54.0,16.0,8.0,16.0,2.0,22.0,22.0,21.0,3.0
589,19.0,2183.0,831.0,2.0,39.0,2756.0,1546.0,3210.0,3178.0,765.0,38.0,513.0,618.0,28.0,40.0,5103.0,2341.0,4406.0,3137.0,3206.0,2445.0
590,10.0,2.0,5.0,13.0,8.0,12.0,7.0,19.0,42.0,12.0,21.0,3.0,16.0,96.0,12.0,21.0,2.0,14.0,34.0,30.0,7.0
596,1.0,4.0,11.0,0.0,0.0,13.0,91.0,17.0,49.0,18.0,1.0,0.0,10.0,1.0,3.0,31.0,29.0,18.0,31.0,31.0,6.0
598,57.0,57.0,19.0,11.0,51.0,13.0,14.0,15.0,20.0,16.0,93.0,23.0,49.0,82.0,59.0,30.0,9.0,16.0,21.0,41.0,10.0
599,11618.0,212.0,3460.0,3504.0,16595.0,3847.0,129.0,3739.0,5854.0,500.0,32932.0,222.0,3931.0,48381.0,20283.0,4727.0,153.0,9106.0,6742.0,2683.0,1787.0
599_ref1,9.0,6.0,19.0,0.0,3.0,15.0,57.0,105.0,1862.0,20.0,6.0,4.0,54.0,19.0,5.0,25.0,43.0,270.0,2566.0,44.0,766.0
599_ref2,1.0,6.0,12.0,0.0,0.0,23.0,31.0,309.0,2431.0,22.0,3.0,0.0,81.0,17.0,0.0,33.0,2.0,544.0,3337.0,64.0,843.0
6,5.0,5.0,2.0,2.0,8.0,6.0,7.0,2.0,7.0,5.0,3.0,3.0,12.0,8.0,2.0,7.0,3.0,9.0,7.0,14.0,3.0
60,178.0,1.0,75.0,30.0,109.0,50.0,22.0,41.0,41.0,31.0,275.0,0.0,123.0,250.0,156.0,80.0,17.0,41.0,95.0,87.0,16.0
61,4.0,0.0,2.0,0.0,5.0,1.0,1.0,0.0,6.0,1.0,4.0,0.0,3.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0
611,7.0,12.0,4.0,2.0,1.0,12.0,17.0,13.0,11.0,7.0,3.0,5.0,12.0,4.0,2.0,21.0,3.0,10.0,14.0,35.0,11.0
616,30.0,6.0,13.0,9.0,39.0,6.0,44.0,12.0,18.0,16.0,29.0,2.0,38.0,56.0,19.0,25.0,10.0,14.0,21.0,83.0,3.0
619,4.0,5.0,3.0,0.0,8.0,8.0,4.0,7.0,12.0,6.0,9.0,0.0,11.0,4.0,5.0,13.0,1.0,10.0,19.0,10.0,1.0
622,18.0,1.0,10.0,9.0,22.0,23.0,5.0,24.0,30.0,15.0,43.0,1.0,25.0,39.0,15.0,44.0,2.0,23.0,39.0,38.0,7.0
627,8.0,3.0,4.0,1.0,9.0,9.0,16.0,23.0,18.0,16.0,9.0,0.0,15.0,10.0,4.0,30.0,9.0,15.0,18.0,16.0,5.0
631,546.0,45.0,796.0,92.0,967.0,622.0,16.0,777.0,709.0,163.0,1335.0,2.0,811.0,1449.0,1008.0,1150.0,116.0,646.0,669.0,505.0,231.0
632,70.0,11.0,87.0,42.0,99.0,36.0,42.0,57.0,105.0,25.0,122.0,6.0,121.0,448.0,90.0,57.0,19.0,86.0,103.0,65.0,20.0
636,2.0,2.0,15.0,3.0,4.0,22.0,27.0,22.0,125.0,13.0,5.0,0.0,12.0,10.0,6.0,36.0,6.0,66.0,66.0,47.0,19.0
638,254.0,127.0,137.0,37.0,409.0,118.0,24.0,81.0,108.0,21.0,495.0,4.0,87.0,494.0,416.0,132.0,51.0,138.0,101.0,127.0,300.0
639,64.0,6.0,19.0,20.0,99.0,8.0,14.0,12.0,72.0,3.0,97.0,3.0,37.0,639.0,138.0,13.0,4.0,38.0,47.0,24.0,4.0
64,14.0,23.0,10.0,122.0,59.0,9.0,42.0,12.0,12.0,2.0,14.0,5.0,20.0,99.0,95.0,12.0,16.0,14.0,10.0,15.0,3.0
640,8.0,12.0,8.0,6.0,15.0,14.0,11.0,9.0,64.0,12.0,15.0,3.0,17.0,34.0,23.0,22.0,2.0,27.0,43.0,50.0,5.0
642,92.0,26.0,42.0,103.0,123.0,18.0,18.0,16.0,42.0,15.0,120.0,19.0,79.0,281.0,166.0,25.0,285.0,68.0,44.0,67.0,13.0
648,211.0,217.0,14.0,23.0,111.0,15.0,79.0,15.0,9.0,16.0,113.0,67.0,25.0,57.0,63.0,58.0,94.0,11.0,18.0,21.0,8.0
649,316.0,10.0,202.0,73.0,444.0,57.0,10.0,65.0,90.0,67.0,406.0,17.0,288.0,475.0,205.0,115.0,13.0,64.0,107.0,125.0,31.0
65,12.0,23.0,2.0,4.0,7.0,12.0,8.0,4.0,8.0,5.0,7.0,11.0,7.0,57.0,10.0,13.0,4.0,49.0,104.0,39.0,62.0
651,957.0,977.0,1041.0,407.0,839.0,873.0,262.0,509.0,1891.0,103.0,3332.0,412.0,520.0,3916.0,2413.0,641.0,22.0,2022.0,1619.0,987.0,707.0
652,97.0,18.0,49.0,30.0,138.0,32.0,27.0,34.0,33.0,29.0,161.0,19.0,81.0,312.0,193.0,51.0,10.0,36.0,50.0,75.0,32.0
653,21.0,41.0,16.0,7.0,22.0,10.0,32.0,30.0,36.0,15.0,20.0,27.0,26.0,77.0,7.0,35.0,12.0,15.0,38.0,24.0,13.0
657,39.0,104.0,33.0,15.0,44.0,22.0,30.0,84.0,41.0,31.0,46.0,70.0,71.0,50.0,20.0,61.0,20.0,37.0,53.0,43.0,30.0
658,23.0,1.0,5.0,2.0,31.0,1.0,1.0,4.0,1.0,2.0,24.0,8.0,4.0,31.0,6.0,6.0,1.0,2.0,6.0,6.0,3.0
66,0.0,6.0,1.0,1.0,2.0,2.0,9.0,5.0,6.0,4.0,3.0,2.0,2.0,7.0,3.0,12.0,1.0,2.0,2.0,18.0,2.0
660,36.0,2.0,8.0,3.0,32.0,7.0,8.0,8.0,19.0,6.0,38.0,2.0,13.0,109.0,22.0,16.0,1.0,8.0,27.0,17.0,6.0
666,60.0,326.0,9.0,12.0,27.0,6.0,12.0,13.0,8.0,9.0,32.0,113.0,15.0,44.0,103.0,15.0,24.0,13.0,16.0,39.0,7.0
667,72.0,85.0,30.0,23.0,100.0,23.0,37.0,25.0,27.0,17.0,63.0,43.0,73.0,110.0,23.0,45.0,19.0,19.0,49.0,45.0,9.0
668,19.0,21.0,6.0,6.0,23.0,4.0,9.0,14.0,6.0,1.0,17.0,13.0,16.0,31.0,53.0,7.0,9.0,10.0,18.0,21.0,7.0
673,1743.0,52.0,981.0,325.0,3015.0,660.0,204.0,1114.0,652.0,698.0,1783.0,50.0,1464.0,3592.0,2149.0,1449.0,93.0,674.0,1223.0,2779.0,418.0
674,968.0,15672.0,1744.0,738.0,2029.0,469.0,481.0,1209.0,1337.0,138.0,3147.0,11455.0,761.0,9208.0,2583.0,1046.0,273.0,2747.0,1396.0,601.0,568.0
676,197.0,57.0,37.0,36.0,430.0,30.0,71.0,35.0,72.0,37.0,106.0,8.0,106.0,1495.0,464.0,41.0,57.0,45.0,101.0,843.0,27.0
677,1.0,20.0,34.0,1.0,2.0,301.0,35.0,186.0,299.0,76.0,4.0,39.0,26.0,2.0,0.0,267.0,43.0,499.0,378.0,367.0,311.0
683,2.0,1.0,2.0,1.0,1.0,2.0,13.0,5.0,13.0,7.0,3.0,2.0,5.0,9.0,2.0,9.0,6.0,4.0,9.0,4.0,7.0
685,6.0,9.0,7.0,3.0,6.0,22.0,24.0,18.0,27.0,13.0,10.0,4.0,11.0,9.0,5.0,45.0,24.0,22.0,34.0,57.0,14.0
689,12.0,181.0,10.0,3.0,13.0,6.0,5.0,5.0,8.0,5.0,7.0,84.0,12.0,45.0,14.0,7.0,3.0,4.0,8.0,6.0,2.0
690,14.0,8.0,10.0,3.0,5.0,10.0,2.0,9.0,16.0,8.0,12.0,7.0,10.0,14.0,1.0,8.0,9.0,11.0,16.0,13.0,17.0
692,2.0,4.0,7.0,2.0,0.0,18.0,71.0,37.0,21.0,19.0,1.0,0.0,16.0,0.0,1.0,51.0,29.0,37.0,38.0,96.0,11.0
693,14.0,24.0,14.0,20.0,17.0,19.0,16.0,17.0,98.0,10.0,22.0,4.0,25.0,122.0,30.0,21.0,7.0,30.0,88.0,26.0,27.0
695,177.0,580.0,145.0,65.0,247.0,61.0,14.0,63.0,118.0,40.0,226.0,0.0,225.0,238.0,106.0,62.0,18.0,209.0,108.0,143.0,43.0
697,11.0,8.0,194.0,6.0,8.0,255.0,442.0,174.0,259.0,72.0,24.0,0.0,86.0,11.0,7.0,157.0,325.0,556.0,445.0,391.0,431.0
7,8.0,2.0,3.0,3.0,9.0,7.0,8.0,7.0,3.0,8.0,11.0,1.0,7.0,3.0,3.0,21.0,3.0,3.0,16.0,20.0,4.0
701,6.0,14.0,8.0,0.0,4.0,19.0,17.0,14.0,39.0,10.0,3.0,3.0,12.0,25.0,3.0,43.0,8.0,29.0,26.0,45.0,8.0
702,9.0,10.0,15.0,2.0,6.0,32.0,108.0,48.0,53.0,30.0,2.0,2.0,53.0,25.0,5.0,88.0,46.0,48.0,57.0,88.0,22.0
703,368.0,9.0,337.0,71.0,374.0,185.0,18.0,63.0,182.0,26.0,1134.0,239.0,197.0,1445.0,592.0,186.0,2.0,152.0,102.0,186.0,102.0
705,1.0,2.0,1.0,1.0,5.0,13.0,5.0,30.0,23.0,17.0,6.0,0.0,11.0,14.0,5.0,38.0,6.0,21.0,16.0,48.0,10.0
709,23.0,14.0,21.0,17.0,43.0,4.0,16.0,6.0,4.0,10.0,27.0,4.0,48.0,90.0,18.0,12.0,12.0,3.0,6.0,13.0,5.0
711,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,5.0,0.0
713,48.0,15.0,74.0,20.0,73.0,377.0,492.0,114.0,917.0,76.0,58.0,4.0,34.0,214.0,65.0,276.0,268.0,566.0,1190.0,983.0,641.0
715,0.0,3.0,0.0,2.0,1.0,0.0,5.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,2.0,7.0,4.0,3.0
717,113.0,33.0,65.0,121.0,127.0,89.0,28.0,45.0,107.0,25.0,108.0,90.0,83.0,330.0,99.0,139.0,297.0,95.0,96.0,73.0,59.0
721,17.0,86.0,135.0,9.0,18.0,394.0,450.0,210.0,196.0,30.0,28.0,2.0,61.0,164.0,32.0,273.0,5.0,738.0,172.0,268.0,210.0
724,11.0,12.0,14.0,9.0,8.0,13.0,8.0,15.0,26.0,4.0,19.0,3.0,46.0,20.0,12.0,12.0,3.0,20.0,20.0,12.0,8.0
727,5849.0,754.0,5519.0,894.0,9648.0,2525.0,318.0,4327.0,2895.0,515.0,14819.0,1030.0,7121.0,19396.0,7781.0,3132.0,214.0,7688.0,3523.0,2231.0,1963.0
729,107.0,165.0,49.0,62.0,153.0,37.0,54.0,41.0,37.0,24.0,97.0,27.0,75.0,97.0,56.0,61.0,17.0,44.0,39.0,56.0,20.0
731,36.0,24.0,101.0,16.0,41.0,138.0,153.0,391.0,191.0,153.0,27.0,4.0,194.0,99.0,26.0,214.0,386.0,203.0,292.0,533.0,148.0
732,10.0,3.0,20.0,3.0,13.0,14.0,15.0,50.0,14.0,34.0,6.0,0.0,28.0,38.0,2.0,42.0,16.0,27.0,46.0,46.0,5.0
734,152.0,17.0,13.0,103.0,260.0,19.0,9.0,36.0,33.0,26.0,108.0,10.0,24.0,125.0,174.0,48.0,19.0,19.0,40.0,35.0,7.0
735,1.0,1.0,2.0,0.0,1.0,21.0,11.0,21.0,33.0,12.0,0.0,0.0,4.0,1.0,0.0,23.0,10.0,17.0,22.0,23.0,6.0
738,9.0,47.0,1.0,1.0,4.0,7.0,8.0,12.0,14.0,4.0,8.0,34.0,10.0,11.0,4.0,8.0,4.0,8.0,15.0,24.0,6.0
739,22.0,2.0,170.0,1.0,7.0,1367.0,184.0,385.0,2158.0,151.0,34.0,7.0,71.0,15.0,19.0,695.0,549.0,1784.0,2277.0,1627.0,1215.0
740,27.0,2.0,36.0,9.0,9.0,42.0,15.0,65.0,163.0,22.0,12.0,2.0,65.0,10.0,12.0,40.0,18.0,147.0,120.0,63.0,17.0
741,71.0,16.0,60.0,34.0,56.0,11.0,4.0,25.0,58.0,6.0,115.0,5.0,79.0,254.0,57.0,18.0,6.0,76.0,39.0,33.0,15.0
742,84.0,9.0,82.0,61.0,73.0,42.0,223.0,96.0,74.0,43.0,106.0,2.0,126.0,48.0,55.0,81.0,129.0,77.0,112.0,131.0,27.0
748,7.0,5.0,6.0,2.0,10.0,5.0,1.0,14.0,13.0,7.0,7.0,3.0,7.0,17.0,5.0,18.0,3.0,6.0,13.0,7.0,13.0
749,3.0,3.0,4.0,2.0,9.0,9.0,8.0,13.0,21.0,3.0,6.0,0.0,6.0,7.0,1.0,22.0,9.0,9.0,12.0,7.0,3.0
754,3.0,6.0,4.0,0.0,2.0,30.0,6.0,18.0,22.0,11.0,4.0,1.0,5.0,0.0,1.0,21.0,7.0,19.0,37.0,53.0,15.0
755,1.0,0.0,1.0,1.0,1.0,5.0,3.0,5.0,4.0,6.0,1.0,0.0,2.0,2.0,1.0,8.0,2.0,5.0,7.0,6.0,3.0
756,127.0,92.0,94.0,130.0,174.0,30.0,16.0,46.0,53.0,33.0,163.0,27.0,103.0,495.0,229.0,56.0,21.0,55.0,61.0,68.0,40.0
760,263.0,32.0,143.0,36.0,208.0,46.0,80.0,70.0,85.0,53.0,224.0,13.0,245.0,280.0,183.0,101.0,23.0,109.0,70.0,144.0,12.0
77,5.0,126.0,11.0,4.0,19.0,11.0,1.0,7.0,8.0,8.0,14.0,42.0,12.0,5.0,3.0,10.0,4.0,2.0,9.0,10.0,8.0
772,10.0,123.0,4.0,5.0,14.0,8.0,14.0,12.0,63.0,6.0,7.0,41.0,11.0,34.0,12.0,14.0,3.0,21.0,33.0,25.0,3.0
775,5.0,26.0,17.0,1.0,5.0,21.0,9.0,35.0,94.0,20.0,8.0,4.0,25.0,5.0,2.0,32.0,4.0,61.0,75.0,62.0,11.0
778,7885.0,1331.0,4353.0,1785.0,8621.0,3089.0,464.0,2227.0,4108.0,450.0,20246.0,664.0,2452.0,21025.0,10618.0,3354.0,601.0,5228.0,4191.0,2780.0,2405.0
78,1.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,5.0,3.0
782,4.0,7.0,13.0,1.0,4.0,7.0,14.0,19.0,34.0,15.0,2.0,0.0,13.0,10.0,5.0,21.0,7.0,42.0,27.0,47.0,8.0
783,59.0,89.0,23.0,15.0,66.0,11.0,34.0,10.0,18.0,5.0,68.0,210.0,27.0,93.0,60.0,16.0,5.0,22.0,20.0,14.0,10.0
784,6.0,32.0,104.0,3.0,1.0,630.0,162.0,132.0,370.0,40.0,17.0,21.0,27.0,0.0,0.0,245.0,48.0,533.0,412.0,468.0,284.0
789,1.0,2.0,7.0,0.0,0.0,8.0,7.0,22.0,43.0,13.0,2.0,2.0,6.0,1.0,1.0,12.0,5.0,29.0,26.0,15.0,13.0
790,68.0,234.0,529.0,17.0,62.0,1364.0,254.0,1065.0,2616.0,189.0,173.0,165.0,413.0,468.0,105.0,1667.0,258.0,3107.0,3064.0,1344.0,1006.0
791,52.0,219.0,24.0,89.0,97.0,19.0,8.0,22.0,159.0,11.0,58.0,56.0,30.0,297.0,57.0,36.0,15.0,73.0,70.0,49.0,19.0
795,308.0,32.0,4069.0,50.0,152.0,4625.0,1071.0,6856.0,9640.0,917.0,376.0,11.0,2800.0,177.0,131.0,5047.0,1203.0,16208.0,10244.0,5851.0,2070.0
796,1.0,23.0,7.0,1.0,3.0,13.0,35.0,26.0,44.0,20.0,3.0,8.0,8.0,5.0,2.0,31.0,24.0,19.0,45.0,45.0,17.0
797,6.0,10.0,5.0,3.0,2.0,10.0,3.0,5.0,65.0,9.0,13.0,1.0,7.0,81.0,14.0,9.0,5.0,24.0,34.0,12.0,1.0
798,10.0,21.0,31.0,0.0,8.0,89.0,233.0,123.0,98.0,120.0,4.0,5.0,43.0,4.0,2.0,211.0,45.0,84.0,109.0,136.0,51.0
800,2.0,1.0,3.0,0.0,3.0,6.0,4.0,6.0,6.0,4.0,2.0,1.0,3.0,2.0,2.0,7.0,3.0,1.0,12.0,5.0,3.0
801,10.0,71.0,2.0,1.0,30.0,4.0,3.0,4.0,20.0,3.0,19.0,55.0,7.0,93.0,10.0,13.0,3.0,12.0,10.0,8.0,5.0
803,1.0,0.0,2.0,1.0,0.0,11.0,2.0,13.0,17.0,8.0,5.0,1.0,7.0,0.0,3.0,11.0,4.0,5.0,16.0,15.0,1.0
804,19.0,74.0,12.0,3.0,9.0,6.0,35.0,5.0,10.0,5.0,30.0,39.0,16.0,26.0,18.0,12.0,6.0,4.0,14.0,9.0,2.0
805,39.0,42.0,12.0,1.0,11.0,6.0,7.0,8.0,22.0,9.0,120.0,284.0,16.0,12.0,9.0,20.0,4.0,18.0,13.0,16.0,7.0
807,0.0,1.0,3.0,0.0,0.0,3.0,14.0,7.0,10.0,6.0,0.0,1.0,6.0,1.0,0.0,14.0,1.0,9.0,4.0,7.0,3.0
808,30.0,22.0,88.0,7.0,30.0,189.0,60.0,298.0,615.0,41.0,46.0,7.0,76.0,28.0,25.0,187.0,61.0,489.0,362.0,236.0,295.0
809,99.0,11.0,62.0,37.0,126.0,22.0,12.0,56.0,102.0,17.0,179.0,1.0,87.0,615.0,164.0,51.0,4.0,85.0,88.0,94.0,10.0
81,12.0,82.0,3.0,2.0,7.0,4.0,14.0,2.0,4.0,10.0,9.0,12.0,8.0,15.0,2.0,11.0,3.0,4.0,0.0,9.0,3.0
811,16.0,16.0,24.0,11.0,25.0,14.0,41.0,27.0,88.0,23.0,17.0,5.0,26.0,55.0,39.0,26.0,7.0,55.0,33.0,43.0,13.0
812,4.0,36.0,6.0,1.0,3.0,4.0,4.0,14.0,22.0,3.0,3.0,1.0,8.0,16.0,4.0,14.0,3.0,15.0,22.0,11.0,2.0
813,41.0,25.0,69.0,14.0,70.0,36.0,48.0,52.0,181.0,15.0,73.0,25.0,83.0,429.0,80.0,68.0,43.0,145.0,124.0,112.0,10.0
819,14.0,12.0,1174.0,3.0,8.0,5969.0,725.0,3580.0,14861.0,587.0,13.0,62.0,271.0,30.0,2.0,5045.0,820.0,17246.0,16288.0,6744.0,2457.0
821,3.0,3.0,4.0,0.0,4.0,14.0,53.0,13.0,7.0,11.0,4.0,1.0,13.0,8.0,6.0,18.0,21.0,8.0,9.0,17.0,3.0
823,62.0,3.0,33.0,23.0,60.0,25.0,19.0,29.0,51.0,17.0,62.0,3.0,47.0,304.0,90.0,40.0,42.0,45.0,57.0,38.0,16.0
830,1.0,5.0,3.0,0.0,2.0,5.0,2.0,7.0,3.0,7.0,1.0,2.0,4.0,0.0,0.0,5.0,1.0,6.0,4.0,18.0,2.0
833,32.0,75.0,18.0,12.0,27.0,22.0,17.0,35.0,69.0,12.0,39.0,16.0,39.0,73.0,19.0,25.0,9.0,37.0,56.0,34.0,20.0
835,11.0,18.0,6.0,3.0,6.0,5.0,3.0,8.0,29.0,7.0,15.0,8.0,16.0,42.0,21.0,9.0,4.0,9.0,21.0,24.0,4.0
837,60.0,30.0,137.0,35.0,137.0,64.0,10.0,83.0,90.0,36.0,211.0,1.0,87.0,265.0,228.0,187.0,15.0,138.0,98.0,145.0,61.0
838,37554.0,7694.0,48904.0,15787.0,33534.0,16131.0,550.0,10633.0,26726.0,2020.0,90201.0,15444.0,20177.0,220214.0,90704.0,10990.0,4086.0,46807.0,32828.0,20559.0,12751.0
839,17.0,4.0,59.0,40.0,27.0,30.0,12.0,26.0,333.0,19.0,39.0,0.0,45.0,80.0,24.0,49.0,4.0,145.0,130.0,113.0,31.0
841,20.0,690.0,13.0,16.0,10.0,5.0,12.0,8.0,7.0,4.0,28.0,424.0,17.0,47.0,8.0,15.0,2.0,7.0,19.0,6.0,16.0
842,76.0,766.0,36.0,32.0,256.0,28.0,34.0,14.0,41.0,15.0,66.0,230.0,87.0,352.0,141.0,53.0,11.0,27.0,41.0,48.0,17.0
843,32.0,86.0,24.0,4.0,11.0,88.0,328.0,180.0,110.0,91.0,22.0,45.0,48.0,22.0,11.0,280.0,157.0,120.0,225.0,172.0,120.0
848,9.0,11.0,3.0,3.0,3.0,4.0,5.0,8.0,1.0,3.0,7.0,7.0,4.0,1.0,2.0,6.0,9.0,5.0,3.0,9.0,5.0
850,42.0,10.0,22.0,15.0,30.0,86.0,131.0,106.0,164.0,46.0,43.0,15.0,42.0,59.0,15.0,209.0,99.0,69.0,181.0,152.0,104.0
853,114.0,62.0,64.0,37.0,214.0,44.0,40.0,85.0,42.0,42.0,147.0,46.0,87.0,368.0,127.0,79.0,61.0,34.0,70.0,128.0,64.0
854,16.0,13.0,136.0,1.0,0.0,347.0,205.0,101.0,424.0,14.0,13.0,27.0,22.0,14.0,15.0,144.0,619.0,924.0,897.0,419.0,315.0
857,11.0,15.0,64.0,4.0,2.0,172.0,84.0,397.0,195.0,271.0,22.0,19.0,119.0,4.0,6.0,381.0,114.0,300.0,317.0,585.0,135.0
859,43.0,107.0,37.0,12.0,35.0,13.0,5.0,7.0,10.0,11.0,53.0,24.0,36.0,60.0,53.0,10.0,10.0,14.0,14.0,29.0,5.0
860,87.0,69.0,51.0,42.0,69.0,39.0,21.0,61.0,59.0,34.0,122.0,14.0,93.0,334.0,76.0,78.0,19.0,77.0,76.0,75.0,23.0
862,156.0,35.0,134.0,65.0,138.0,45.0,14.0,129.0,54.0,44.0,224.0,11.0,200.0,178.0,142.0,71.0,12.0,81.0,65.0,67.0,41.0
868,1.0,1.0,9.0,2.0,7.0,5.0,8.0,5.0,5.0,3.0,6.0,0.0,22.0,7.0,2.0,9.0,10.0,11.0,10.0,17.0,3.0
869,24.0,1.0,11.0,13.0,32.0,8.0,5.0,11.0,3.0,14.0,21.0,1.0,12.0,12.0,16.0,11.0,2.0,6.0,11.0,6.0,5.0
87,8.0,26.0,2.0,6.0,12.0,13.0,1.0,8.0,14.0,7.0,10.0,3.0,4.0,51.0,14.0,4.0,2.0,18.0,15.0,11.0,11.0
870,1.0,8.0,1.0,0.0,1.0,2.0,3.0,4.0,24.0,2.0,1.0,6.0,0.0,3.0,1.0,5.0,1.0,4.0,17.0,3.0,1.0
871,0.0,6.0,4.0,1.0,6.0,0.0,3.0,3.0,19.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,6.0,9.0,6.0,18.0,1.0
879,0.0,1.0,1.0,0.0,1.0,2.0,4.0,6.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,2.0,5.0,2.0
880,1.0,4.0,1.0,0.0,4.0,2.0,7.0,2.0,16.0,4.0,0.0,2.0,2.0,10.0,0.0,3.0,1.0,2.0,14.0,8.0,1.0
882,1.0,1.0,0.0,0.0,1.0,4.0,4.0,6.0,12.0,2.0,1.0,0.0,8.0,3.0,3.0,7.0,12.0,5.0,11.0,10.0,1.0
887,1.0,1.0,1.0,0.0,2.0,8.0,8.0,7.0,15.0,6.0,2.0,1.0,6.0,0.0,1.0,22.0,11.0,7.0,18.0,8.0,6.0
888,19.0,0.0,15.0,3.0,33.0,7.0,2.0,6.0,5.0,0.0,25.0,1.0,14.0,26.0,11.0,12.0,1.0,2.0,4.0,25.0,1.0
89,3403.0,35258.0,345.0,951.0,10230.0,837.0,988.0,978.0,688.0,211.0,7378.0,63844.0,562.0,16899.0,5760.0,1988.0,890.0,1013.0,648.0,1089.0,1922.0
892,1.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0
897,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,17.0,0.0,4.0,3.0,1.0,5.0,2.0,1.0,0.0,2.0,4.0,6.0,0.0
