strain_id,A_noMTX_noDrug.ERV25_RBD2,A_noMTX_noDrug.SRO9_SGN1,A_noMTX_noDrug.MID2_PIN2,A_noMTX_noDrug.MID2_TPO2,A_noMTX_noDrug.PLM2_HNM1,A_noMTX_noDrug.ERV25_UIP4,A_noMTX_noDrug.ERG27_ACF2,A_noMTX_noDrug.HNM1_RBD2,A_noMTX_noDrug.HNM1_TPO1,A_noMTX_noDrug.PMC1_GTR2,A_noMTX_noDrug.HNM1_TPO4,A_noMTX_noDrug.ADE17_HYR1,A_noMTX_noDrug.DHH1_LSM3,A_noMTX_noDrug.MID2_RSN1,A_noMTX_noDrug.TPO1_TCB2,A_noMTX_noDrug.HNM1_MAM33,A_noMTX_noDrug.RET2_SNA3,A_noMTX_noDrug.MID2_MAM33,A_noMTX_noDrug.ERG11_HYR1,A_noMTX_noDrug.HUG1_ALO1,A_noMTX_noDrug.ERG11_ERG5,A_noMTX_noDrug.HUG1_ADE17,A_noMTX_noDrug.ERG11_ACF2,A_noMTX_noDrug.RET2_EMP70,A_noMTX_noDrug.ERG11_MID2,A_noMTX_noDrug.TPO1_MID2,A_noMTX_noDrug.ERG11_PIS1,A_noMTX_noDrug.FMP45_HNM1,A_noMTX_noDrug.SNA4_VAC8,A_noMTX_noDrug.ERV25_PIS1,A_noMTX_noDrug.SNA4_GTR2,A_noMTX_noDrug.ADE17_GIS2,A_noMTX_noDrug.GTR1_SLM4,A_noMTX_noDrug.noPPI_reference,A_noMTX_noDrug.MID2_TPO4,A_noMTX_noDrug.MID2_WSC2,A_noMTX_noDrug.SSH1_ERG11,A_noMTX_noDrug.SSH1_ERV25,A_noMTX_noDrug.RET2_EMP47,A_noMTX_noDrug.TPO1_TPO2,A_noMTX_noDrug.SRO9_DHH1,A_noMTX_noDrug.ERV25_ERG5,A_noMTX_noDrug.ERG11_TPO4,A_noMTX_noDrug.PMC1_CTR2,A_noMTX_noDrug.HNM1_MID2,A_noMTX_noDrug.ALO1_HYR1,A_noMTX_noDrug.ALO1_UIP4,A_noMTX_noDrug.PLM2_SNA3,A_noMTX_noDrug.FMP45_MEP1,A_noMTX_noDrug.ERG11_ORM2,A_noMTX_noDrug.ERV25_EMP47,A_noMTX_noDrug.SSH1_PIS1,A_noMTX_noDrug.ALO1_ADE17,A_noMTX_noDrug.HNM1_ERG11,A_noMTX_noDrug.ADE17_PGM2,A_noMTX_noDrug.HNM1_TPO2,A_noMTX_noDrug.ERV25_ORM2,A_noMTX_noDrug.FMP45_MID2,A_noMTX_noDrug.HUG1_PGM2,A_noMTX_noDrug.SRO9_GIS2,A_noMTX_noDrug.SSH1_ORM2,A_noMTX_noDrug.ERG11_ERV25
248,2.0,20.0,65.0,6.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,7.0,43.0,22.0,2.0,25.0,2.0,20.0,10.0,16.0,5.0,0.0,62.0,2.0,34.0,9.0,4.0,1.0,1.0,3.0,148.0,0.0,4.0,15.0,2.0,1.0,4.0,47.0,4.0,3.0,1.0,49.0,1.0,1.0,4.0,0.0,25.0,3.0,2.0,16.0,11.0,3.0,6.0,2.0,196.0,75.0,11.0,50.0,39.0,1.0,2.0,1.0
250,1.0,14.0,5.0,1.0,0.0,2.0,18.0,1.0,2.0,1.0,0.0,0.0,109.0,4.0,0.0,75.0,0.0,0.0,33.0,3.0,14.0,0.0,1.0,1.0,8.0,1.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,8.0,3.0,6.0,1.0,1.0,1.0,23.0,7.0,0.0,1.0,0.0,1.0,1.0,33.0,1.0,117.0,48.0,1.0,0.0,0.0,6.0,69.0,6.0,4.0,2.0,34.0,1.0
253,10.0,856.0,260.0,10.0,3.0,8.0,7.0,20.0,14.0,89.0,10.0,1972.0,21.0,12.0,28.0,11.0,2.0,48.0,4.0,3.0,23.0,8.0,46.0,1.0,27.0,4.0,22.0,12.0,817.0,5.0,27.0,129.0,2.0,17.0,12.0,1.0,20.0,33.0,4.0,4.0,53.0,74.0,51.0,42.0,15.0,117.0,142.0,1.0,83.0,32.0,548.0,12.0,10.0,17.0,15.0,4.0,307.0,2.0,3.0,46.0,125.0,4.0
254,15.0,291.0,430.0,46.0,126.0,64.0,456.0,174.0,12.0,336.0,51.0,152.0,859.0,81.0,459.0,632.0,9.0,111.0,129.0,601.0,60.0,388.0,169.0,8.0,104.0,439.0,53.0,14.0,30.0,4.0,685.0,106.0,8.0,18.0,53.0,10.0,12.0,158.0,13.0,521.0,81.0,568.0,201.0,127.0,20.0,4.0,51.0,246.0,54.0,20.0,819.0,222.0,323.0,56.0,6.0,83.0,146.0,392.0,794.0,105.0,117.0,35.0
257,185.0,49.0,268.0,24.0,7.0,4.0,103.0,4.0,16.0,6.0,6.0,75.0,139.0,28.0,3.0,23.0,0.0,58.0,5.0,18.0,20.0,2.0,4.0,1.0,12.0,1.0,10.0,4.0,6.0,81.0,120.0,566.0,632.0,3.0,3.0,4.0,5.0,20.0,2.0,2.0,0.0,11.0,5.0,8.0,1.0,0.0,18.0,7.0,14.0,0.0,313.0,135.0,8.0,16.0,279.0,182.0,17.0,2.0,29.0,9.0,8.0,7.0
258,646.0,176.0,257.0,41.0,106.0,49.0,615.0,156.0,96.0,14.0,117.0,439.0,133.0,43.0,6.0,214.0,3.0,90.0,34.0,115.0,59.0,46.0,71.0,2.0,70.0,42.0,20.0,10.0,365.0,296.0,713.0,104.0,9.0,16.0,52.0,8.0,13.0,45.0,7.0,16.0,30.0,65.0,43.0,8.0,14.0,9.0,54.0,513.0,193.0,42.0,846.0,68.0,224.0,36.0,194.0,365.0,51.0,71.0,80.0,67.0,43.0,8.0
27,3.0,29.0,182.0,3.0,13.0,1.0,48.0,2.0,1.0,9.0,10.0,2.0,15.0,3.0,46.0,2.0,83.0,3.0,13.0,2.0,66.0,1.0,2.0,104.0,20.0,26.0,4.0,11.0,1.0,4.0,120.0,3.0,1.0,7.0,2.0,3.0,2.0,13.0,248.0,30.0,18.0,1.0,5.0,13.0,2.0,2.0,48.0,116.0,159.0,48.0,383.0,6.0,54.0,5.0,1.0,0.0,3.0,2.0,1.0,53.0,61.0,6.0
270,2.0,1.0,7.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,0.0,2.0,0.0,0.0,6.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,32.0,3.0,26.0,1.0,13.0,5.0,0.0,0.0,4.0,0.0,2.0,5.0,5.0,0.0,1.0,0.0
271,5.0,1221.0,201.0,54.0,40.0,133.0,208.0,4.0,8.0,159.0,129.0,6.0,183.0,79.0,43.0,12.0,2.0,222.0,119.0,420.0,56.0,124.0,214.0,4.0,23.0,64.0,32.0,93.0,1.0,320.0,216.0,7.0,5.0,11.0,91.0,7.0,9.0,32.0,1.0,55.0,106.0,65.0,12.0,74.0,22.0,70.0,326.0,137.0,174.0,17.0,839.0,6.0,610.0,83.0,8.0,23.0,519.0,778.0,239.0,46.0,238.0,51.0
272,1.0,35.0,74.0,8.0,54.0,18.0,0.0,17.0,0.0,27.0,19.0,46.0,4.0,34.0,1.0,20.0,1.0,2.0,62.0,2.0,130.0,1.0,44.0,0.0,220.0,0.0,73.0,4.0,0.0,1.0,106.0,3.0,110.0,12.0,16.0,210.0,4.0,165.0,1.0,1.0,2.0,2.0,62.0,12.0,4.0,1.0,3.0,0.0,11.0,177.0,197.0,1.0,1.0,6.0,2.0,2.0,9.0,5.0,0.0,9.0,5.0,7.0
277,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
286,5.0,29.0,14.0,15.0,86.0,1.0,128.0,3.0,23.0,24.0,3.0,2.0,122.0,8.0,185.0,1.0,3.0,5.0,16.0,127.0,24.0,28.0,60.0,7.0,26.0,75.0,1.0,2.0,77.0,3.0,84.0,5.0,1.0,5.0,3.0,2.0,3.0,48.0,3.0,180.0,2.0,7.0,15.0,18.0,0.0,14.0,115.0,0.0,27.0,220.0,15.0,265.0,11.0,7.0,0.0,1.0,21.0,3.0,89.0,0.0,5.0,10.0
289,302.0,244.0,250.0,102.0,116.0,226.0,24.0,105.0,39.0,406.0,17.0,46.0,11.0,80.0,65.0,44.0,1.0,165.0,59.0,42.0,43.0,68.0,43.0,3.0,25.0,77.0,13.0,32.0,4.0,2.0,167.0,14.0,12.0,12.0,71.0,12.0,19.0,36.0,3.0,37.0,47.0,135.0,25.0,151.0,22.0,46.0,96.0,6.0,33.0,39.0,1352.0,122.0,52.0,107.0,5.0,29.0,25.0,285.0,105.0,39.0,124.0,35.0
29,1.0,1012.0,65.0,5.0,0.0,4.0,4.0,4.0,1.0,6.0,0.0,4.0,13.0,9.0,2.0,5.0,2.0,60.0,108.0,0.0,59.0,2.0,90.0,5.0,55.0,3.0,95.0,63.0,0.0,4.0,4.0,0.0,6.0,16.0,27.0,110.0,12.0,2.0,2.0,1.0,142.0,7.0,156.0,3.0,2.0,1.0,320.0,2.0,42.0,87.0,10.0,4.0,10.0,38.0,1.0,0.0,9.0,690.0,2.0,120.0,173.0,5.0
291,2.0,6.0,39.0,0.0,4.0,2.0,3.0,0.0,0.0,7.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,3.0,4.0,12.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,6.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,15.0,1.0,1.0,0.0,0.0,2.0,2.0,8.0,12.0,2.0,3.0,2.0
292,1.0,3.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,10.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,7.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,0.0,9.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0
294,10.0,42.0,76.0,41.0,3.0,83.0,81.0,4.0,252.0,156.0,10.0,5.0,11.0,48.0,1.0,24.0,3.0,83.0,56.0,46.0,370.0,103.0,156.0,1.0,44.0,6.0,52.0,22.0,7.0,4.0,593.0,66.0,1.0,8.0,64.0,4.0,9.0,32.0,1.0,5.0,105.0,198.0,623.0,77.0,21.0,9.0,309.0,0.0,37.0,54.0,531.0,7.0,63.0,73.0,6.0,4.0,459.0,113.0,106.0,61.0,4.0,128.0
296,630.0,76.0,323.0,85.0,74.0,138.0,89.0,6.0,3.0,416.0,33.0,9.0,304.0,39.0,260.0,6.0,31.0,133.0,26.0,294.0,21.0,47.0,103.0,9.0,76.0,118.0,38.0,64.0,163.0,1.0,459.0,54.0,1586.0,22.0,59.0,5.0,16.0,132.0,33.0,301.0,219.0,244.0,68.0,180.0,43.0,112.0,266.0,276.0,88.0,13.0,755.0,155.0,564.0,51.0,7.0,62.0,82.0,1111.0,170.0,21.0,68.0,4.0
299,3402.0,104.0,130.0,34.0,111.0,93.0,75.0,2.0,183.0,39.0,17.0,10.0,29.0,9.0,10.0,1.0,1.0,44.0,169.0,182.0,346.0,80.0,27.0,2.0,57.0,7.0,26.0,17.0,4.0,6.0,25.0,3.0,21.0,24.0,1.0,13.0,5.0,179.0,3.0,8.0,104.0,300.0,20.0,38.0,10.0,21.0,78.0,2108.0,95.0,4.0,555.0,11.0,358.0,16.0,11.0,41.0,125.0,26.0,108.0,60.0,131.0,127.0
308,1.0,13.0,9.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,2.0,7.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,6.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,21.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,12.0,5.0,0.0,0.0,1.0,1.0,7.0,4.0,0.0,1.0,2.0,0.0
31,4.0,105.0,48.0,9.0,137.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,6.0,0.0,2.0,0.0,0.0,9.0,0.0,32.0,0.0,9.0,0.0,39.0,2.0,4.0,5.0,0.0,2.0,152.0,2.0,63.0,5.0,5.0,0.0,0.0,25.0,0.0,2.0,5.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,8.0,7.0,1.0,0.0,2.0,3.0,7.0,5.0,73.0,0.0,18.0,20.0,0.0
311,1.0,16.0,40.0,1.0,0.0,4.0,3.0,1.0,3.0,5.0,1.0,2.0,7.0,3.0,1.0,5.0,0.0,6.0,6.0,3.0,7.0,3.0,6.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,10.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,5.0,4.0,0.0,23.0,2.0,3.0,3.0,4.0,6.0,8.0,14.0,6.0,1.0,7.0,2.0
312,3.0,264.0,96.0,2.0,0.0,11.0,170.0,4.0,5.0,17.0,6.0,3.0,6.0,23.0,1.0,8.0,1.0,8.0,298.0,20.0,402.0,6.0,444.0,1.0,58.0,1.0,34.0,47.0,3.0,4.0,142.0,4.0,6.0,6.0,4.0,1.0,24.0,75.0,2.0,4.0,35.0,6.0,98.0,5.0,21.0,2.0,38.0,0.0,50.0,618.0,187.0,4.0,56.0,57.0,1.0,1.0,64.0,61.0,34.0,102.0,17.0,199.0
320,374.0,516.0,497.0,106.0,517.0,30.0,18.0,897.0,1049.0,176.0,941.0,64.0,12.0,76.0,118.0,1036.0,3.0,248.0,1128.0,243.0,347.0,91.0,462.0,32.0,313.0,118.0,108.0,40.0,593.0,373.0,973.0,51.0,22.0,16.0,80.0,387.0,137.0,521.0,13.0,207.0,98.0,173.0,510.0,39.0,101.0,119.0,119.0,744.0,248.0,479.0,259.0,639.0,328.0,316.0,27.0,1523.0,362.0,102.0,208.0,31.0,618.0,192.0
323,2.0,5.0,18.0,4.0,0.0,14.0,26.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,7.0,1.0,17.0,3.0,3.0,4.0,1.0,16.0,5.0,50.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,19.0,69.0,6.0,0.0,83.0,2.0,2.0,3.0,0.0,25.0,1.0,3.0,2.0,131.0,337.0,126.0,8.0,2.0,2.0,51.0,5.0,9.0,3.0,7.0,1.0
325,9.0,242.0,175.0,53.0,50.0,63.0,49.0,3.0,118.0,195.0,5.0,4.0,151.0,45.0,145.0,114.0,8.0,200.0,1553.0,702.0,615.0,348.0,335.0,7.0,39.0,161.0,48.0,84.0,6.0,119.0,224.0,7.0,4.0,9.0,44.0,121.0,15.0,268.0,24.0,96.0,86.0,228.0,105.0,139.0,23.0,2.0,153.0,86.0,70.0,265.0,383.0,214.0,7.0,46.0,1.0,63.0,530.0,145.0,996.0,28.0,341.0,119.0
33,1.0,8.0,28.0,9.0,45.0,5.0,3.0,2.0,4.0,23.0,13.0,4.0,0.0,16.0,61.0,33.0,0.0,13.0,5.0,2.0,44.0,0.0,14.0,5.0,21.0,3.0,4.0,34.0,213.0,431.0,29.0,6.0,2.0,6.0,0.0,3.0,5.0,49.0,4.0,18.0,9.0,53.0,4.0,5.0,15.0,3.0,43.0,1.0,5.0,47.0,8.0,37.0,200.0,22.0,11.0,38.0,97.0,110.0,4.0,2.0,291.0,7.0
335,1316.0,32.0,266.0,41.0,14.0,45.0,176.0,5.0,34.0,43.0,5.0,9.0,12.0,45.0,25.0,1.0,3.0,207.0,8.0,72.0,16.0,38.0,1.0,3.0,18.0,57.0,4.0,2.0,0.0,5.0,298.0,1.0,3.0,10.0,42.0,191.0,23.0,185.0,0.0,80.0,19.0,14.0,11.0,15.0,2.0,1.0,78.0,0.0,60.0,71.0,54.0,13.0,464.0,9.0,6.0,91.0,70.0,115.0,39.0,5.0,91.0,3.0
336,188.0,70.0,43.0,9.0,17.0,4.0,65.0,1.0,3.0,78.0,5.0,4.0,29.0,7.0,104.0,2.0,2.0,7.0,60.0,32.0,68.0,14.0,37.0,4.0,5.0,98.0,11.0,14.0,0.0,3.0,50.0,1.0,2.0,5.0,10.0,1.0,1.0,10.0,6.0,100.0,10.0,10.0,6.0,41.0,1.0,3.0,27.0,2.0,10.0,108.0,15.0,14.0,13.0,11.0,0.0,2.0,44.0,180.0,87.0,14.0,12.0,1.0
337,189.0,2335.0,380.0,61.0,607.0,593.0,518.0,218.0,147.0,302.0,173.0,12.0,2268.0,61.0,112.0,264.0,18.0,78.0,2126.0,481.0,2219.0,199.0,602.0,18.0,97.0,139.0,145.0,137.0,9.0,675.0,702.0,25.0,404.0,21.0,82.0,46.0,60.0,755.0,29.0,215.0,169.0,1208.0,515.0,287.0,18.0,105.0,651.0,16.0,198.0,242.0,3477.0,541.0,338.0,116.0,3.0,174.0,817.0,692.0,446.0,201.0,317.0,157.0
339,8.0,581.0,100.0,44.0,132.0,26.0,46.0,4.0,3.0,31.0,59.0,1.0,12.0,76.0,0.0,4.0,5.0,191.0,1103.0,10.0,69.0,5.0,149.0,46.0,222.0,5.0,9.0,21.0,3.0,10.0,87.0,4.0,9.0,7.0,93.0,22.0,8.0,86.0,6.0,3.0,68.0,43.0,208.0,55.0,9.0,2.0,33.0,5.0,75.0,88.0,82.0,8.0,4.0,43.0,3.0,46.0,61.0,287.0,3.0,58.0,9.0,30.0
347,3.0,64.0,49.0,14.0,18.0,46.0,98.0,0.0,0.0,38.0,4.0,2.0,1688.0,10.0,1.0,5.0,33.0,30.0,101.0,11.0,9.0,9.0,1.0,0.0,1.0,4.0,2.0,16.0,1.0,1.0,145.0,2.0,5.0,3.0,6.0,0.0,2.0,23.0,2.0,0.0,27.0,36.0,14.0,19.0,11.0,96.0,26.0,0.0,22.0,81.0,34.0,2.0,2.0,5.0,1.0,47.0,27.0,6.0,20.0,6.0,19.0,1.0
350,4.0,137.0,56.0,31.0,59.0,4.0,210.0,0.0,264.0,2.0,77.0,42.0,4.0,11.0,1.0,71.0,2.0,36.0,98.0,14.0,22.0,2.0,51.0,3.0,54.0,0.0,24.0,1.0,3.0,391.0,240.0,1532.0,5.0,10.0,13.0,1.0,18.0,179.0,11.0,1.0,2.0,50.0,252.0,15.0,7.0,4.0,8.0,22.0,153.0,57.0,527.0,643.0,8.0,11.0,92.0,102.0,302.0,32.0,10.0,8.0,153.0,14.0
354,3.0,375.0,194.0,27.0,127.0,8.0,207.0,3.0,1.0,94.0,1.0,1.0,9.0,52.0,48.0,1.0,0.0,70.0,35.0,63.0,45.0,8.0,38.0,4.0,22.0,26.0,28.0,7.0,86.0,3.0,80.0,1.0,4.0,4.0,47.0,32.0,6.0,22.0,4.0,106.0,27.0,1.0,3.0,28.0,1.0,0.0,1.0,10.0,142.0,28.0,13.0,92.0,1.0,2.0,3.0,4.0,14.0,67.0,62.0,21.0,82.0,25.0
358,379.0,67.0,41.0,3.0,5.0,23.0,105.0,3.0,6.0,10.0,9.0,5.0,8.0,10.0,1.0,4.0,1.0,28.0,6.0,56.0,32.0,46.0,0.0,1.0,10.0,1.0,2.0,1.0,1.0,174.0,15.0,2.0,120.0,4.0,18.0,0.0,1.0,0.0,48.0,9.0,28.0,26.0,3.0,4.0,0.0,14.0,27.0,0.0,2.0,7.0,117.0,70.0,7.0,5.0,1.0,2.0,89.0,28.0,43.0,2.0,2.0,1.0
359,4.0,0.0,78.0,17.0,1.0,0.0,15.0,3.0,1.0,9.0,3.0,1.0,4.0,31.0,0.0,2.0,0.0,11.0,4.0,0.0,4.0,6.0,0.0,0.0,2.0,1.0,1.0,3.0,44.0,1.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,35.0,0.0,5.0,0.0,10.0,3.0,10.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,0.0,3.0,7.0,2.0,0.0,15.0,2.0
364,103.0,8.0,99.0,38.0,4.0,13.0,0.0,1.0,3.0,2.0,2.0,7.0,4.0,23.0,3.0,3.0,1.0,44.0,35.0,0.0,6.0,3.0,0.0,1.0,32.0,0.0,2.0,0.0,1.0,4.0,142.0,67.0,2.0,0.0,21.0,117.0,1.0,20.0,1.0,0.0,0.0,1.0,151.0,1.0,0.0,2.0,1.0,2.0,29.0,3.0,13.0,2.0,1.0,9.0,2.0,348.0,13.0,9.0,0.0,3.0,12.0,3.0
375,1179.0,289.0,183.0,38.0,188.0,10.0,97.0,3.0,41.0,208.0,4.0,9.0,65.0,50.0,8.0,77.0,6.0,43.0,358.0,214.0,334.0,84.0,101.0,3.0,64.0,9.0,69.0,37.0,5.0,4.0,210.0,10.0,7.0,22.0,25.0,6.0,15.0,47.0,4.0,5.0,115.0,165.0,130.0,152.0,4.0,41.0,27.0,3.0,481.0,98.0,28.0,3.0,3.0,20.0,2.0,29.0,97.0,365.0,97.0,84.0,71.0,174.0
383,7.0,341.0,204.0,30.0,65.0,34.0,26.0,456.0,2.0,77.0,6.0,10.0,747.0,39.0,4.0,4.0,1.0,71.0,192.0,145.0,161.0,46.0,56.0,4.0,45.0,32.0,25.0,33.0,6.0,43.0,14.0,1226.0,44.0,20.0,69.0,7.0,2.0,83.0,6.0,2.0,94.0,25.0,5.0,80.0,7.0,21.0,49.0,1.0,52.0,18.0,500.0,567.0,212.0,62.0,60.0,6.0,35.0,38.0,83.0,115.0,44.0,5.0
385,2.0,7.0,3.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,7.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0
392,15.0,158.0,208.0,46.0,450.0,44.0,50.0,2.0,24.0,25.0,58.0,155.0,793.0,35.0,23.0,43.0,3.0,160.0,6.0,245.0,140.0,399.0,81.0,1.0,164.0,53.0,47.0,31.0,4.0,4.0,380.0,50.0,401.0,21.0,25.0,110.0,21.0,202.0,2.0,20.0,8.0,330.0,72.0,41.0,29.0,6.0,10.0,38.0,11.0,165.0,330.0,488.0,3.0,99.0,7.0,373.0,269.0,621.0,115.0,13.0,396.0,69.0
397,5.0,51.0,26.0,4.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,49.0,8.0,20.0,58.0,67.0,1.0,70.0,10.0,22.0,14.0,19.0,5.0,1.0,0.0,90.0,2.0,4.0,3.0,5.0,9.0,9.0,5.0,6.0,21.0,67.0,2.0,12.0,2.0,56.0,2.0,3.0,3.0,2.0,0.0,0.0,11.0,0.0,10.0,4.0,9.0,6.0,77.0,1.0,3.0,6.0,5.0,18.0,32.0,1.0,25.0,3.0
399,11.0,241.0,1379.0,133.0,502.0,74.0,978.0,11.0,292.0,157.0,30.0,1067.0,517.0,271.0,16.0,1020.0,1.0,365.0,593.0,111.0,1114.0,25.0,561.0,3.0,721.0,13.0,186.0,97.0,504.0,8.0,267.0,16.0,28.0,24.0,148.0,6.0,46.0,210.0,4.0,10.0,159.0,732.0,235.0,47.0,19.0,12.0,11.0,5.0,206.0,382.0,549.0,79.0,5.0,74.0,20.0,216.0,29.0,1230.0,58.0,357.0,296.0,482.0
40,456.0,0.0,95.0,3.0,1.0,23.0,109.0,0.0,0.0,13.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,5.0,20.0,1.0,1.0,1.0,8.0,0.0,19.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,4.0,6.0,2.0,12.0,0.0,14.0,0.0,21.0,0.0,2.0,47.0,0.0,38.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,3.0,1.0,26.0,3.0
400,12.0,214.0,411.0,71.0,141.0,60.0,2.0,25.0,851.0,75.0,440.0,195.0,148.0,84.0,203.0,354.0,3.0,186.0,97.0,247.0,137.0,54.0,158.0,5.0,68.0,344.0,35.0,18.0,80.0,67.0,525.0,383.0,8.0,23.0,129.0,13.0,26.0,296.0,9.0,390.0,4.0,330.0,100.0,53.0,29.0,7.0,138.0,4.0,93.0,70.0,348.0,52.0,26.0,21.0,546.0,171.0,79.0,180.0,112.0,12.0,62.0,14.0
406,47.0,225.0,400.0,94.0,589.0,350.0,866.0,10.0,781.0,364.0,527.0,28.0,1873.0,136.0,782.0,877.0,11.0,227.0,374.0,490.0,365.0,54.0,105.0,22.0,192.0,892.0,91.0,38.0,9.0,8.0,376.0,37.0,26.0,47.0,50.0,485.0,29.0,51.0,21.0,1245.0,42.0,1102.0,491.0,160.0,78.0,135.0,132.0,9.0,283.0,81.0,2013.0,6.0,108.0,136.0,27.0,611.0,868.0,881.0,330.0,98.0,119.0,83.0
408,5.0,88.0,148.0,21.0,3.0,29.0,2.0,3.0,1.0,7.0,3.0,4.0,123.0,44.0,16.0,3.0,1.0,48.0,36.0,279.0,165.0,56.0,2.0,2.0,75.0,3.0,11.0,28.0,4.0,2.0,316.0,25.0,6.0,4.0,41.0,15.0,8.0,5.0,0.0,17.0,15.0,8.0,45.0,19.0,4.0,9.0,3.0,3.0,3.0,1.0,76.0,2.0,3.0,6.0,62.0,1.0,39.0,29.0,133.0,7.0,68.0,4.0
409,5.0,1711.0,816.0,175.0,129.0,13.0,5.0,750.0,268.0,65.0,727.0,6.0,133.0,114.0,85.0,439.0,2.0,658.0,99.0,8.0,71.0,1.0,93.0,4.0,122.0,109.0,86.0,54.0,3.0,6.0,11.0,160.0,19.0,26.0,111.0,756.0,19.0,284.0,8.0,60.0,200.0,163.0,343.0,16.0,33.0,8.0,85.0,3045.0,146.0,126.0,460.0,398.0,17.0,159.0,28.0,215.0,561.0,351.0,8.0,202.0,170.0,8.0
419,10.0,616.0,194.0,27.0,56.0,80.0,8.0,0.0,117.0,230.0,191.0,3.0,252.0,107.0,231.0,14.0,6.0,84.0,6.0,425.0,96.0,123.0,60.0,8.0,97.0,151.0,71.0,10.0,3.0,1.0,254.0,47.0,198.0,20.0,47.0,4.0,39.0,477.0,7.0,275.0,37.0,83.0,20.0,136.0,13.0,2.0,170.0,10.0,118.0,168.0,23.0,104.0,48.0,32.0,1.0,9.0,182.0,48.0,201.0,57.0,236.0,225.0
421,7.0,128.0,180.0,56.0,125.0,3.0,2.0,113.0,507.0,29.0,6.0,6.0,517.0,44.0,26.0,98.0,0.0,94.0,155.0,12.0,365.0,9.0,107.0,7.0,201.0,26.0,19.0,10.0,2.0,5.0,173.0,143.0,124.0,23.0,94.0,112.0,25.0,236.0,5.0,73.0,32.0,216.0,128.0,18.0,8.0,5.0,42.0,4.0,18.0,102.0,72.0,659.0,4.0,18.0,37.0,3.0,26.0,6.0,16.0,86.0,341.0,8.0
